Yr,Mon,EST. CHACAY A
1971,1,160.83720930232556
1971,2,126.61937984496124
1971,3,102.93333333333338
1971,4,61.7232558139535
1971,5,34.47286821705426
1971,6,20.036434108527132
1971,7,27.537984496124036
1971,8,37.98992248062016
1971,9,62.868992248062014
1971,10,101.92015503875969
1971,11,130.23023255813953
1971,12,153.89689922480622
1972,1,176.4589147286822
1972,2,126.76201550387599
1972,3,99.67674418604652
1972,4,64.92248062015504
1972,5,35.27286821705427
1972,6,23.858914728682173
1972,7,25.437209302325584
1972,8,39.480620155038764
1972,9,55.368217054263575
1972,10,84.09922480620156
1972,11,118.59767441860464
1972,12,156.9093023255814
1973,1,172.28062015503878
1973,2,130.47519379844962
1973,3,103.37674418604652
1973,4,58.30155038759689
1973,5,35.538759689922486
1973,6,21.515503875969
1973,7,22.580620155038762
1973,8,36.68992248062016
1973,9,62.868992248062014
1973,10,86.37674418604651
1973,11,121.29767441860463
1973,12,163.53100775193798
1974,1,170.0813953488372
1974,2,123.41860465116281
1974,3,104.67674418604652
1974,4,58.67906976744187
1974,5,41.139534883720934
1974,6,22.43720930232558
1974,7,22.98139534883721
1974,8,36.86821705426357
1974,9,64.24651162790698
1974,10,91.99922480620157
1974,11,124.68527131782946
1974,12,153.2968992248062
1975,1,170.115503875969
1975,2,123.51860465116282
1975,3,96.71162790697677
1975,4,66.54573643410853
1975,5,32.1170542635659
1975,6,21.78139534883721
1975,7,24.937209302325584
1975,8,35.6031007751938
1975,9,60.34651162790698
1975,10,95.04341085271318
1975,11,120.96434108527133
1975,12,151.4542635658915
1976,1,166.7503875968992
1976,2,118.91937984496124
1976,3,99.91162790697678
1976,4,57.93643410852714
1976,5,33.21705426356589
1976,6,18.75891472868217
1976,7,24.53720930232558
1976,8,36.25891472868218
1976,9,59.96899224806202
1976,10,98.42093023255813
1976,11,122.16434108527133
1976,12,154.99689922480619
1977,1,170.43798449612405
1977,2,126.1968992248062
1977,3,105.09922480620156
1977,4,64.12325581395349
1977,5,34.6953488372093
1977,6,23.13720930232558
1977,7,24.937209302325584
1977,8,37.65891472868217
1977,9,65.04728682170543
1977,10,91.67674418604652
1977,11,117.76434108527133
1977,12,149.73178294573646
1978,1,161.69457364341085
1978,2,129.71782945736436
1978,3,101.63333333333334
1978,4,58.97984496124032
1978,5,31.194573643410855
1978,6,22.33720930232558
1978,7,33.26046511627907
1978,8,35.98062015503876
1978,9,60.84728682170542
1978,10,91.02170542635659
1978,11,118.08604651162791
1978,12,157.88759689922483
1979,1,168.0511627906977
1979,2,124.47519379844962
1979,3,102.56744186046512
1979,4,60.35736434108527
1979,5,32.21627906976745
1979,6,17.50232558139535
1979,7,23.82558139534884
1979,8,39.45968992248063
1979,9,55.74728682170543
1979,10,91.4
1979,11,111.63255813953491
1979,12,146.84418604651165
1980,1,178.2387596899225
1980,2,113.36744186046514
1980,3,105.45581395348839
1980,4,54.379844961240316
1980,5,37.64031007751939
1980,6,22.237209302325585
1980,7,25.815503875968997
1980,8,42.281395348837215
1980,9,65.79147286821706
1980,10,97.42015503875969
1980,11,118.64263565891474
1980,12,152.0891472868217
1981,1,154.27441860465117
1981,2,128.54108527131785
1981,3,101.946511627907
1981,4,57.002325581395354
1981,5,39.840310077519376
1981,6,21.137209302325587
1981,7,28.659689922480624
1981,8,39.0031007751938
1981,9,64.39147286821706
1981,10,97.19922480620157
1981,11,122.66356589147289
1981,12,158.55348837209306
1982,1,171.86279069767446
1982,2,121.6759689922481
1982,3,101.91162790697675
1982,4,59.2232558139535
1982,5,34.86201550387597
1982,6,21.137209302325587
1982,7,27.5031007751938
1982,8,40.85968992248062
1982,9,59.60232558139535
1982,10,89.32248062015505
1982,11,116.06511627906978
1982,12,163.45271317829457
1983,1,157.18527131782946
1983,2,130.10620155038762
1983,3,100.23410852713181
1983,4,60.20155038759689
1983,5,29.659689922480624
1983,6,16.97906976744186
1983,7,23.23643410852713
1983,8,40.75891472868218
1983,9,59.84651162790698
1983,10,99.9
1983,11,134.18449612403103
1983,12,163.36511627906978
1984,1,169.52790697674422
1984,2,124.61937984496126
1984,3,98.06744186046512
1984,4,58.7232558139535
1984,5,32.017054263565896
1984,6,15.64496124031008
1984,7,25.337209302325586
1984,8,35.68062015503876
1984,9,60.04728682170543
1984,10,82.65658914728682
1984,11,111.5201550387597
1984,12,147.8550387596899
1985,1,159.9077519379845
1985,2,127.81937984496125
1985,3,102.77751937984497
1985,4,56.73565891472869
1985,5,32.63875968992249
1985,6,26.237984496124028
1985,7,25.25968992248062
1985,8,36.88992248062016
1985,9,64.12480620155038
1985,10,88.05581395348838
1985,11,125.7984496124031
1985,12,160.38682170542637
1986,1,168.11705426356593
1986,2,123.99767441860463
1986,3,100.71162790697677
1986,4,55.33643410852713
1986,5,35.86124031007753
1986,6,21.680620155038763
1986,7,24.58139534883721
1986,8,38.75968992248062
1986,9,61.34728682170544
1986,10,94.8558139534884
1986,11,115.9759689922481
1986,12,155.98837209302326
1987,1,174.41627906976746
1987,2,132.41937984496124
1987,3,106.35503875968992
1987,4,59.380620155038756
1987,5,31.116279069767444
1987,6,19.558914728682172
1987,7,29.938759689922477
1987,8,36.55891472868217
1987,9,59.94728682170543
1987,10,90.7
1987,11,125.88682170542634
