Nodes and Reaches,CL_09  0 \ Headflow,Río Chalinga  0 \ Headflow
abr-89,0.23223,0.844232
may-89,0.233913,0.850224
jun-89,0.354062,1.2778
jul-89,0.367823,1.32677
ago-89,0.315793,1.14161
sept-89,0.482346,1.73433
oct-89,0.6287,2.1871
nov-89,0.58566,1.38933
dic-89,0.394471,1.48645
ene-90,0.359937,1.21355
feb-90,0.30534,0.962413
mar-90,0.232055,0.839419
abr-90,0.198754,0.844232
may-90,0.56259,0.850224
jun-90,0.365196,1.2778
jul-90,0.286862,1.32677
ago-90,0.227812,1.14161
sept-90,0.279248,1.73433
oct-90,0.260759,2.2587
nov-90,0.240579,2.22749
dic-90,0.239831,2.12444
ene-91,0.239072,2.0197
feb-91,0.238337,1.91834
mar-91,0.237602,1.81697
abr-91,0.236854,1.71392
may-91,0.236107,1.61087
jun-91,0.23536,1.50782
jul-91,0.234612,1.40477
ago-91,0.233853,1.30003
sept-91,0.233106,1.19698
oct-91,0.234101,1.10199
nov-91,0.308322,1.38933
dic-91,0.330154,1.48645
ene-92,0.268806,1.21355
feb-92,0.21235,0.962412
mar-92,0.184882,0.840226
abr-92,0.185993,0.845166
may-92,0.187297,0.850967
jun-92,0.287093,1.2949
jul-92,0.292591,1.31935
ago-92,0.252925,1.1429
sept-92,0.393071,1.76633
oct-92,0.502957,2.25516
nov-92,0.464556,2.08433
dic-92,0.313765,1.41355
ene-93,0.286064,1.29032
feb-93,0.242148,1.09497
mar-93,0.185028,0.840868
abr-93,0.199429,0.904931
may-93,0.571296,2.55916
jun-93,0.360176,1.62
jul-93,0.284686,1.28419
ago-93,0.228392,1.03377
sept-93,0.278723,1.25767
oct-93,0.26816,1.21067
nov-93,0.279398,1.26066
dic-93,0.243729,1.102
ene-94,0.217304,0.98445
feb-94,0.187576,0.852203
mar-94,0.133889,0.613385
abr-94,0.145792,0.666331
may-94,0.134172,0.614643
jun-94,0.140374,0.64223
jul-94,0.140155,0.641256
ago-94,0.150089,0.68545
sept-94,0.121693,0.559132
oct-94,0.10286,0.475355
nov-94,0.0961107,0.445332
dic-94,0.0862896,0.401643
ene-95,0.0896688,0.416674
feb-95,0.0816952,0.381207
mar-95,0.0698648,0.32858
abr-95,0.0722596,0.339233
may-95,0.0728524,0.341871
jun-95,0.0716825,0.336667
jul-95,0.074397,0.348742
ago-95,0.0702707,0.330387
sept-95,0.0568005,0.270466
oct-95,0.0658038,0.310516
nov-95,0.0529043,0.253133
dic-95,0.0629394,0.297774
ene-96,0.065927,0.311064
feb-96,0.0582926,0.277103
mar-96,0.0575515,0.273806
abr-96,0.0428256,0.2083
may-96,0.0601042,0.285161
jun-96,0.065066,0.307233
jul-96,0.0575444,0.273774
ago-96,0.0547162,0.261193
sept-96,0.0539606,0.257833
oct-96,0.0655283,0.30929
nov-96,0.0621061,0.294066
dic-96,0.048893,0.23529
ene-97,0.0567029,0.270032
feb-97,0.0559363,0.26662
mar-97,0.0476169,0.229613
abr-97,0.0371384,0.183
may-97,0.0489367,0.235484
jun-97,0.419738,1.88497
jul-97,0.244788,1.10671
ago-97,0.594504,2.66238
sept-97,0.913407,4.08098
oct-97,0.892514,3.98805
nov-97,1.03053,4.60197
dic-97,1.3066,5.83005
ene-98,1.06868,4.77169
feb-98,0.6328,2.83275
mar-98,0.534756,2.39661
abr-98,0.36988,1.66316
may-98,0.323193,1.45548
jun-98,0.345189,1.55333
jul-98,0.276804,1.24913
ago-98,0.160329,0.731
sept-98,0.231695,1.04846
oct-98,0.317498,1.43015
nov-98,0.359178,1.61556
dic-98,0.257239,1.16209
ene-99,0.127522,0.585062
feb-99,0.097815,0.45291
mar-99,0.107218,0.494739
abr-99,0.113278,0.521698
may-99,0.227356,1.02916
jun-99,0.115219,0.530332
jul-99,0.245476,1.10977
ago-99,0.218999,0.991988
sept-99,0.209687,0.950563
oct-99,0.135455,0.620352
nov-99,0.157938,0.720367
dic-99,0.12539,0.575579
ene-00,0.0661231,0.311935
feb-00,0.106994,0.493742
mar-00,0.100568,0.465158
abr-00,0.0951443,0.44103
may-00,0.0847667,0.39487
