Sources and Destinations,Decrease in Storage for EMB_CORRALES,Increase in Storage for EMB_CORRALES,Inflow from Upstream,Outflow to Downstream,Outflow to EMB_CORRALES_CHOAPA1,Outflow to EMB_CORRALES_CHOAPA2,Outflow to EMB_CORRALES_EVAP,Outflow to RQ_EMB,Sum
abr-89,0,0,0.154155,-0.154155,0,0,0,0,0
may-89,0,0,0.462392,-0.462392,0,0,0,0,0
jun-89,0,0,0.116475,-0.116475,0,0,0,0,0
jul-89,0,0,1.17512,-1.17512,0,0,0,0,0
ago-89,0,0,0.981556,-0.981556,0,0,0,0,0
sept-89,0,0,0.138469,-0.138469,0,0,0,0,0
oct-89,0,0,0,0,0,0,0,0,0
nov-89,0,0,0,0,0,0,0,0,0
dic-89,0,0,0,0,0,0,0,0,0
ene-90,0,0,0,0,0,0,0,0,0
feb-90,0,0,0,0,0,0,0,0,0
mar-90,0,0,0,0,0,0,0,0,0
abr-90,0,0,0,0,0,0,0,0,0
may-90,0,0,0,0,0,0,0,0,0
jun-90,0,0,0.016,-0.016,0,0,0,0,0
jul-90,0,0,0.123,-0.123,0,0,0,0,0
ago-90,0,0,0.055,-0.055,0,0,0,0,0
sept-90,0,0,0.052,-0.052,0,0,0,0,0
oct-90,0,0,0,0,0,0,0,0,0
nov-90,0,0,0,0,0,0,0,0,0
dic-90,0,0,0,0,0,0,0,0,0
ene-91,0,0,0,0,0,0,0,0,0
feb-91,0,0,0,0,0,0,0,0,0
mar-91,0,0,0,0,0,0,0,0,0
abr-91,0,0,0.007,-0.007,0,0,0,0,0
may-91,0,0,0.118,-0.118,0,0,0,0,0
jun-91,0,0,0.540999,-0.540999,0,0,0,0,0
jul-91,0,0,0.0959999,-0.0959999,0,0,0,0,0
ago-91,0,0,0.005,-0.005,0,0,0,0,0
sept-91,0,0,0.162,-0.162,0,0,0,0,0
oct-91,0,0,0,0,0,0,0,0,0
nov-91,0,0,0,0,0,0,0,0,0
dic-91,0,0,0.001,-0.001,0,0,0,0,0
ene-92,0,0,0,0,0,0,0,0,0
feb-92,0,0,0,0,0,0,0,0,0
mar-92,0,0,0.0559999,-0.0559999,0,0,0,0,0
abr-92,0,0,0.079,-0.079,0,0,0,0,0
may-92,0,0,0.2,-0.2,0,0,0,0,0
jun-92,0,0,7.12299,-7.12299,0,0,0,0,0
jul-92,0,0,0.004,-0.004,0,0,0,0,0
ago-92,0,0,0.26,-0.26,0,0,0,0,0
sept-92,0,0,0.056,-0.056,0,0,0,0,0
oct-92,0,0,0,0,0,0,0,0,0
nov-92,0,0,0.014,-0.014,0,0,0,0,0
dic-92,0,0,0,0,0,0,0,0,0
ene-93,0,0,0,0,0,0,0,0,0
feb-93,0,0,0,0,0,0,0,0,0
mar-93,0,0,0,0,0,0,0,0,0
abr-93,0,0,0.124,-0.124,0,0,0,0,0
may-93,0,0,3.87097,-3.87097,0,0,0,0,0
jun-93,0,0,0.01,-0.01,0,0,0,0,0
jul-93,0,0,0.14,-0.14,0,0,0,0,0
ago-93,0,0,0.117,-0.117,0,0,0,0,0
sept-93,0,0,0.018,-0.018,0,0,0,0,0
oct-93,0,0,0,0,0,0,0,0,0
nov-93,0,0,0,0,0,0,0,0,0
dic-93,0,0,0,0,0,0,0,0,0
ene-94,0,0,0,0,0,0,0,0,0
feb-94,0,0,0,0,0,0,0,0,0
mar-94,0,0,0,0,0,0,0,0,0
abr-94,0,0,0,0,0,0,0,0,0
may-94,0,0,0.029,-0.029,0,0,0,0,0
jun-94,0,0,0.056,-0.056,0,0,0,0,0
jul-94,0,0,0.182,-0.182,0,0,0,0,0
ago-94,0,0,0.015,-0.015,0,0,0,0,0
sept-94,0,0,0,0,0,0,0,0,0
oct-94,0,0,0,0,0,0,0,0,0
nov-94,0,0,0,0,0,0,0,0,0
dic-94,0,0,0,0,0,0,0,0,0
ene-95,0,0,0.262,-0.262,0,0,0,0,0
feb-95,0,0,0,0,0,0,0,0,0
mar-95,0,0,0,0,0,0,0,0,0
abr-95,0,0,0.031,-0.031,0,0,0,0,0
may-95,0,0,0.006,-0.006,0,0,0,0,0
jun-95,0,0,0.078,-0.078,0,0,0,0,0
jul-95,0,0,0.132,-0.132,0,0,0,0,0
ago-95,0,0,0.0929999,-0.0929999,0,0,0,0,0
sept-95,0,0,0.037,-0.037,0,0,0,0,0
oct-95,0,0,0.003,-0.003,0,0,0,0,0
nov-95,0,0,0,0,0,0,0,0,0
dic-95,0,0,0,0,0,0,0,0,0
ene-96,0,0,0,0,0,0,0,0,0
feb-96,0,0,0,0,0,0,0,0,0
mar-96,0,0,0,0,0,0,0,0,0
abr-96,0,0,0.124,-0.124,0,0,0,0,0
may-96,0,0,0.003,-0.003,0,0,0,0,0
jun-96,0,0,0.039,-0.039,0,0,0,0,0
jul-96,0,0,0.186,-0.186,0,0,0,0,0
ago-96,0,0,0.0719997,-0.0719997,0,0,0,0,0
sept-96,0,0,0,0,0,0,0,0,0
oct-96,0,0,0.008,-0.008,0,0,0,0,0
nov-96,0,0,0,0,0,0,0,0,0
dic-96,0,0,0,0,0,0,0,0,0
ene-97,0,0,0,0,0,0,0,0,0
feb-97,0,0,0,0,0,0,0,0,0
mar-97,0,0,0,0,0,0,0,0,0
abr-97,0,0,0,0,0,0,0,0,0
may-97,0,0,0.145,-0.145,0,0,0,0,0
jun-97,0,0,12.096,-12.096,0,0,0,0,0
jul-97,0,0,0.11,-0.11,0,0,0,0,0
ago-97,0,0,5.25698,-5.25698,0,0,0,0,0
sept-97,0,0,0.044,-0.044,0,0,0,0,0
oct-97,0,0,0.178,-0.178,0,0,0,0,0
nov-97,0,0,0,0,0,0,0,0,0
dic-97,0,0,0,0,0,0,0,0,0
ene-98,0,0,0,0,0,0,0,0,0
feb-98,0,0,0,0,0,0,0,0,0
mar-98,0,0,0,0,0,0,0,0,0
abr-98,0,0,0.039,-0.039,0,0,0,0,0
may-98,0,0,0.02,-0.02,0,0,0,0,0
jun-98,0,0,0.075,-0.075,0,0,0,0,0
jul-98,0,0,0,0,0,0,0,0,0
ago-98,0,0,0,0,0,0,0,0,0
sept-98,0,0,0.021,-0.021,0,0,0,0,0
oct-98,0,0,0,0,0,0,0,0,0
nov-98,0,0,0,0,0,0,0,0,0
dic-98,0,0,0,0,0,0,0,0,0
ene-99,0,0,0,0,0,0,0,0,0
feb-99,0,0,0,0,0,0,0,0,0
mar-99,0,0,0.008,-0.008,0,0,0,0,0
abr-99,0,0,0.006,-0.006,0,0,0,0,0
may-99,0,0,0.027,-0.027,0,0,0,0,0
jun-99,0,0,0.079,-0.079,0,0,0,0,0
jul-99,0,0,0.002,-0.002,0,0,0,0,0
ago-99,0,0,0.25,-0.25,0,0,0,0,0
sept-99,0,0,0.226,-0.226,0,0,0,0,0
oct-99,0,0,0.015,-0.015,0,0,0,0,0
nov-99,0,0,0,0,0,0,0,0,0
dic-99,0,0,0,0,0,0,0,0,0
ene-00,0,0,0,0,0,0,0,0,0
feb-00,0,0,0,0,0,0,0,0,0
mar-00,0,0,0,0,0,0,0,0,0
abr-00,,0,0,0,0,0,0,0,0
may-00,,0,0,0,0,0,0,0,0
jun-00,,-0.0509899,0.051,0,0,0,0,-0.00001014,-8.17726E-18
jul-00,,-2.48754,2.537,0,0,0,-0.000395181,-0.0490645,1.43115E-17
ago-00,,-0.489886,0.575997,0,0,0,-0.037046,-0.0490645,-6.245E-17
sept-00,,-1.81064,1.916,0,0,0,-0.0546573,-0.0507,-9.71445E-17
oct-00,,-0.341931,0.539998,-0.0463382,0,0,-0.102664,-0.0490645,6.93889E-17
nov-00,,-0.115439,0.317,-0.0794048,0,0,-0.0714562,-0.0507,9.29812E-16
dic-00,,-0.402313,0.55,-0.0836282,0,0,-0.0149945,-0.0490645,3.69496E-16
ene-01,,-0.00970753,0.157,-0.0836473,0,0,-0.0145803,-0.0490645,1.09114E-15
feb-01,0.118107,,0.02,-0.0757857,0,0,-0.00800008,-0.0543214,1.99493E-16
mar-01,0.0113465,,0.085,-0.00483549,0,0,-0.0424465,-0.0490645,5.1955E-16
abr-01,0.0627248,,0.039,0,0,0,-0.0510248,-0.0507,8.60423E-16
may-01,0.0677753,,0.024,0,0,0,-0.0427108,-0.0490645,1.0339E-15
jun-01,0.00404955,,0.088,0,0,0,-0.0413496,-0.0507,-1.2837E-16
jul-01,,-6.47476,6.55597,0,0,0,-0.0321381,-0.0490645,-5.55112E-17
ago-01,,-1.11687,1.256,0,0,0,-0.0900623,-0.0490645,-1.84575E-15
sept-01,,-0.689146,0.908997,0,0,0,-0.169151,-0.0507,-4.16334E-16
oct-01,,-0.312562,0.576997,0,0,0,-0.215371,-0.0490645,-1.11022E-15
nov-01,,-0.0246559,0.23,-0.0794048,0,0,-0.0752393,-0.0507,-7.38992E-16
dic-01,0.0761706,,0.296,-0.0836282,-0.0353265,-0.160932,-0.0432197,-0.0490645,3.26128E-16
ene-02,0.0657685,,0.299,-0.0836473,-0.0353265,-0.160932,-0.0357983,-0.0490645,-9.92262E-16
feb-02,0.304657,,0.168,-0.0757857,-0.0586671,-0.267261,-0.0166208,-0.0543214,-6.83481E-16
mar-02,0.229821,,0.148,-0.0155232,-0.0529897,-0.241397,-0.0188463,-0.0490645,2.94903E-17
abr-02,,-0.0389752,0.352,0,-0.036504,-0.166296,-0.0595248,-0.0507,-1.94983E-15
may-02,,-1.57065,1.651,0,0,0,-0.0312781,-0.0490645,-8.74301E-16
jun-02,,-4.61271,7.874,-3.16151,0,0,-0.0490742,-0.0507,-1.51962E-15
jul-02,,0,6.63799,-6.52334,0,0,-0.0655852,-0.0490645,3.88578E-16
ago-02,,0,6.125,-5.96149,0,0,-0.114446,-0.0490645,8.88178E-16
sept-02,,0,1.681,-1.40649,0,0,-0.223809,-0.0507,1.38778E-15
oct-02,,0,0.596998,-0.364442,0,0,-0.183492,-0.0490645,1.22125E-15
nov-02,0.31974,,0.174,-0.0794048,-0.054756,-0.249444,-0.0594348,-0.0507,1.64452E-15
dic-02,,-0.101886,0.512997,-0.0836282,-0.0353265,-0.160932,-0.08216,-0.0490645,2.31065E-15
ene-03,,-0.198041,0.364,-0.0836473,0,0,-0.033247,-0.0490645,-2.08167E-16
feb-03,0.00409407,,0.14,-0.0757857,-1.31219E-05,-5.97775E-05,-0.0139141,-0.0543214,1.57448E-15
mar-03,,-0.0131969,0.171,-0.0907788,0,0,-0.0179596,-0.0490645,1.23859E-15
abr-03,,0,0.09,-0.00239933,-0.00225716,-0.0102826,-0.0243609,-0.0507,1.24293E-15
may-03,,0,0.462,-0.366298,0,0,-0.0466373,-0.0490645,1.26288E-15
jun-03,,0,1.613,-1.47554,0,0,-0.0867601,-0.0507,1.29063E-15
jul-03,,0,2.651,-2.51088,0,0,-0.091056,-0.0490645,1.13798E-15
ago-03,,0,1.78,-1.57572,0,0,-0.155215,-0.0490645,1.30451E-15
sept-03,,0,1.105,-0.91913,-0.00100386,-0.00457314,-0.129593,-0.0507,4.99384E-16
oct-03,,0,0.291,-0.210368,-0.000543002,-0.00247367,-0.0285504,-0.0490645,2.8868E-15
nov-03,0.0838206,,0.095,-0.0306544,-0.000494629,-0.00225331,-0.0947182,-0.0507,2.34578E-15
dic-03,0.00625241,,0.0959999,-0.0196487,-0.00111905,-0.0050979,-0.0273221,-0.0490645,2.60057E-15
ene-04,,-0.0208407,0.121,-0.012725,-0.00103787,-0.00472806,-0.0326038,-0.0490645,2.00339E-15
feb-04,0.0332771,,0.0709998,-0.00377658,-0.00128933,-0.00587361,-0.0408891,-0.0524483,1.5348E-15
mar-04,3.99786E-05,,0.07,0,-0.00151049,-0.00688112,-0.0125838,-0.0490645,-4.12417E-16
abr-04,0.0776105,,0.103,0,-0.000872446,-0.00397447,-0.125064,-0.0507,5.95227E-17
may-04,0.116137,,0.0589998,0,-0.000805671,-0.00367028,-0.121596,-0.0490645,-4.25875E-16
jun-04,0.0472161,,0.105,0,-0.00146868,-0.00669064,-0.0933568,-0.0507,8.19657E-16
jul-04,,-0.301581,0.433998,0,-0.000343578,-0.00156519,-0.0814438,-0.0490645,-5.80319E-16
ago-04,,-0.0330543,1.267,-1.06987,0,0,-0.115008,-0.0490645,1.27676E-15
sept-04,0.195573,,0.104,0,-0.002144,-0.00976712,-0.236962,-0.0507,1.30495E-15
oct-04,0.0814072,,0.205,-0.0403779,-0.00538387,-0.0245265,-0.167054,-0.0490645,3.84241E-15
nov-04,0.12305,,0.172,0,-0.00713106,-0.0324859,-0.204733,-0.0507,7.37257E-16
dic-04,0.00277289,,0.135,-0.0196487,-0.00510638,-0.0232624,-0.0406909,-0.0490645,2.29851E-16
ene-05,,-0.205686,1.194,-0.0307248,-0.156918,-0.714848,-0.0367555,-0.0490645,-8.1532E-16
feb-05,2.26158,,0.557999,-0.0254141,-0.488893,-2.22718,-0.0237669,-0.0543214,3.24393E-15
mar-05,2.40104,,0.215,-0.0096442,-0.441581,-2.01165,-0.10411,-0.0490645,1.58727E-15
abr-05,1.03308,,0.281,0,-0.222833,-1.01513,-0.0254233,-0.0507,7.94503E-16
may-05,0.069273,,0.0929999,0,-0.00414801,-0.0188965,-0.0901639,-0.0490645,-5.97612E-16
jun-05,,-0.183733,0.302,0,-0.00170352,-0.00776048,-0.0581029,-0.0507,-1.72909E-15
jul-05,,-0.0793731,0.21,0,-0.0013105,-0.00597004,-0.0742819,-0.0490645,6.11924E-16
ago-05,,-1.97151,2.122,0,-0.000843277,-0.00384159,-0.0967343,-0.0490645,-1.89302E-16
sept-05,,-1.55838,1.799,0,-0.00124722,-0.00568178,-0.18299,-0.0507,2.13956E-15
oct-05,,-0.382792,0.734999,-0.00326693,-0.00538443,-0.0245291,-0.269961,-0.0490645,1.72562E-15
nov-05,0.0498235,,0.262,-0.0579154,-0.00735744,-0.0335172,-0.162333,-0.0507,2.58734E-15
dic-05,0.00651027,,0.199,-0.0836282,-0.00607387,-0.0276699,-0.0390736,-0.0490645,-1.32012E-15
ene-06,0.154586,,0.0469997,-0.0836473,-0.00798264,-0.0363654,-0.0245255,-0.0490645,9.64506E-16
feb-06,0.143227,,0.0579998,-0.0757857,-0.00910039,-0.0414573,-0.0205616,-0.0543214,5.45397E-15
mar-06,0.0673693,,0.0759999,-0.030845,-0.00791996,-0.0360798,-0.0194599,-0.0490645,-5.01335E-16
abr-06,0.0805479,,0.032,0,-0.00667415,-0.0304045,-0.0247693,-0.0507,3.76262E-15
may-06,0.0598691,,0.035,0,-0.00597131,-0.0272026,-0.0126306,-0.0490645,3.93609E-15
jun-06,,-0.0245232,0.163,0,-0.00318193,-0.0144955,-0.0700994,-0.0507,3.31245E-15
jul-06,,-0.773802,0.893996,0,-0.00128201,-0.00584026,-0.0640076,-0.0490645,7.41811E-16
ago-06,,-1.32637,2.309,-0.769795,-0.00395428,-0.018014,-0.141804,-0.0490645,-2.19963E-15
sept-06,,0,1.435,-1.16476,-0.00371732,-0.0169345,-0.19889,-0.0507,2.91867E-16
oct-06,0.0309164,,0.27,0,-0.00798264,-0.0363654,-0.207504,-0.0490645,3.55618E-15
nov-06,0.157345,,0.142,-0.0794048,-0.0146016,-0.0665184,-0.0881201,-0.0507,4.68375E-17
dic-06,0.0838464,,0.122,-0.0836282,-0.00864928,-0.0394023,-0.0251018,-0.0490645,1.21604E-15
ene-07,0.106915,,0.131,-0.0751524,-0.0138286,-0.0629969,-0.0368728,-0.0490645,1.40513E-16
feb-07,0.247237,,0.153,-0.0634286,-0.0417654,-0.190265,-0.050457,-0.0543214,-1.75554E-15
mar-07,1.58558,,0.193,-0.030845,-0.299135,-1.36273,-0.0368119,-0.0490645,3.81639E-17
abr-07,0.979652,,0.186,0,-0.186225,-0.848359,-0.0803678,-0.0507,4.95437E-15
may-07,0.0602241,,0.0539998,0,-0.0073046,-0.0332765,-0.0245782,-0.0490645,-2.86663E-15
jun-07,,-0.476055,0.602998,0,-0.00226933,-0.0103381,-0.0636356,-0.0507,5.72068E-15
jul-07,,-0.0687606,0.216,0,-0.00231901,-0.0105644,-0.0852913,-0.0490645,2.41257E-15
ago-07,,-0.0153802,0.19,0,-0.00221645,-0.0100972,-0.113242,-0.0490645,5.14779E-16
sept-07,0.0821591,,0.16,-0.00283326,-0.00629694,-0.0286861,-0.153643,-0.0507,2.72612E-15
oct-07,0.0736531,,0.121,-0.0477487,-0.00627899,-0.0286043,-0.0629564,-0.0490645,4.68202E-15
nov-07,0.148596,,0.129,-0.0792353,-0.0097344,-0.0443456,-0.0935806,-0.0507,-2.31239E-15
dic-07,0.0525295,,0.152,-0.0678892,-0.0108543,-0.0494475,-0.0272736,-0.0490645,3.77476E-15
ene-08,0.643249,,0.293,-0.0703091,-0.143602,-0.654187,-0.0190866,-0.0490645,8.67362E-17
feb-08,1.69201,,0.326,-0.0382963,-0.341818,-1.55717,-0.0282712,-0.0524483,-1.54737E-15
mar-08,1.73541,,0.2,-0.030845,-0.319078,-1.45358,-0.0828445,-0.0490645,-1.51615E-15
abr-08,1.42407,,0.159,0,-0.273172,-1.24445,-0.0147453,-0.0507,2.06432E-16
may-08,0.0918766,,0.11,0,-0.0124554,-0.0567414,-0.0836153,-0.0490645,-2.61943E-16
jun-08,,-0.191006,0.322,0,-0.00298116,-0.0135808,-0.0637318,-0.0507,1.58814E-15
jul-08,,-0.397073,0.515998,0,-0.000797694,-0.00363394,-0.0654288,-0.0490645,4.09395E-16
ago-08,,-4.44849,4.60499,0,-0.00102561,-0.00467221,-0.101737,-0.0490645,-1.06555E-15
sept-08,,-0.0947769,0.373,0,-0.00498888,-0.0227271,-0.199807,-0.0507,6.26235E-16
oct-08,0.0905752,,0.2,-0.0477487,-0.00688296,-0.0313557,-0.155523,-0.0490645,2.65499E-15
