Return Flow,Return Flow from AP_AC_08 to RIO CHOAPA,Return Flow from EMB_CORRALES_CHOAPA1 to RIO CHOAPA,Return Flow from EMB_CORRALES_CHOAPA2 to RIO CHOAPA,Return Flow from REST_MPL_AC_050 to RIO CHOAPA,Return Flow from REST_MPL_AC_051 to RIO CHOAPA,Return Flow from REST_MPL_AC_08 to RIO CHOAPA,Return Flow from REST_MPL_AC_09 to RIO CHOAPA,Return Flow from RQ_EMB to EST. CAMISAS
abr-89,0.0123723,0,0,0,0,0,0,0
may-89,0.0119732,0,0,0,0,0,0,0
jun-89,0.0123723,0,0,0,0,0,0,0
jul-89,0.0119732,0,0,0,0,0,0,0
ago-89,0.0119732,0,0,0,0,0,0,0
sept-89,0.0123723,0,0,0,0,0,0,0
oct-89,0.0119732,0,0,0,0,0,0,0
nov-89,0.0123723,0,0,0,0,0,0,0
dic-89,0.0119732,0,0,0,0,0,0,0
ene-90,0.0119732,0,0,0,0,0,0,0
feb-90,0.013256,0,0,0,0,0,0,0
mar-90,0.0119732,0,0,0,0,0,0,0
abr-90,0.0126197,0,0,0,0,0,0,0
may-90,0.0122126,0,0,0,0,0,0,0
jun-90,0.0126197,0,0,0,0,0,0,0
jul-90,0.0122126,0,0,0,0,0,0,0
ago-90,0.0122126,0,0,0,0,0,0,0
sept-90,0.0126197,0,0,0,0,0,0,0
oct-90,0.0122126,0,0,0,0,0,0,0
nov-90,0.0126197,0,0,0,0,0,0,0
dic-90,0.0122126,0,0,0,0,0,0,0
ene-91,0.0122126,0,0,0,0,0,0,0
feb-91,0.0135211,0,0,0,0,0,0,0
mar-91,0.0122126,0,0,0,0,0,0,0
abr-91,0.0128721,0,0,0,0,0,0,0
may-91,0.0124569,0,0,0,0,0,0,0
jun-91,0.0128721,0,0,0,0,0,0,0
jul-91,0.0124569,0,0,0,0,0,0,0
ago-91,0.0124569,0,0,0,0,0,0,0
sept-91,0.0128721,0,0,0,0,0,0,0
oct-91,0.0124569,0,0,0,0,0,0,0
nov-91,0.0128721,0,0,0,0,0,0,0
dic-91,0.0124569,0,0,0,0,0,0,0
ene-92,0.0124569,0,0,0,0,0,0,0
feb-92,0.013316,0,0,0,0,0,0,0
mar-92,0.0124569,0,0,0,0,0,0,0
abr-92,0.0131296,0,0,0,0,0,0,0
may-92,0.012706,0,0,0,0,0,0,0
jun-92,0.0131296,0,0,0,0,0,0,0
jul-92,0.012706,0,0,0,0,0,0,0
ago-92,0.012706,0,0,0,0,0,0,0
sept-92,0.0131296,0,0,0,0,0,0,0
oct-92,0.012706,0,0,0,0,0,0,0
nov-92,0.0131296,0,0,0,0,0,0,0
dic-92,0.012706,0,0,0,0,0,0,0
ene-93,0.012706,0,0,0,0,0,0,0
feb-93,0.0140674,0,0,0,0,0,0,0
mar-93,0.012706,0,0,0,0,0,0,0
abr-93,0.0133922,0,0,0,0,0,0,0
may-93,0.0129602,0,0,0,0,0,0,0
jun-93,0.0133922,0,0,0,0,0,0,0
jul-93,0.0129602,0,0,0,0,0,0,0
ago-93,0.0129602,0,0,0,0,0,0,0
sept-93,0.0133922,0,0,0,0,0,0,0
oct-93,0.0129602,0,0,0,0,0,0,0
nov-93,0.0133922,0,0,0,0,0,0,0
dic-93,0.0129602,0,0,0,0,0,0,0
ene-94,0.0129602,0,0,0,0,0,0,0
feb-94,0.0143487,0,0,0,0,0,0,0
mar-94,0.0129602,0,0,0,0,0,0,0
abr-94,0.01366,0,0,0,0,0,0,0
may-94,0.0132194,0,0,0,0,0,0,0
jun-94,0.01366,0,0,0,0,0,0,0
jul-94,0.0132194,0,0,0,0,0,0,0
ago-94,0.0132194,0,0,0,0,0,0,0
sept-94,0.01366,0,0,0,0,0,0,0
oct-94,0.0132194,0,0,0,0,0,0,0
nov-94,0.01366,0,0,0,0,0,0,0
dic-94,0.0132194,0,0,0,0,0,0,0
ene-95,0.0132194,0,0,0,0,0,0,0
feb-95,0.0146357,0,0,0,0,0,0,0
mar-95,0.0132194,0,0,0,0,0,0,0
abr-95,0.0139332,0,0,0,0,0,0,0
may-95,0.0134837,0,0,0,0,0,0,0
jun-95,0.0139332,0,0,0,0,0,0,0
jul-95,0.0134837,0,0,0,0,0,0,0
ago-95,0.0134837,0,0,0,0,0,0,0
sept-95,0.0139332,0,0,0,0,0,0,0
oct-95,0.0134837,0,0,0,0,0,0,0
nov-95,0.0139332,0,0,0,0,0,0,0
dic-95,0.0134837,0,0,0,0,0,0,0
ene-96,0.0134837,0,0,0,0,0,0,0
feb-96,0.0144137,0,0,0,0,0,0,0
mar-96,0.0134837,0,0,0,0,0,0,0
abr-96,0.0142119,0,0,0,0,0,0,0
may-96,0.0137534,0,0,0,0,0,0,0
jun-96,0.0142119,0,0,0,0,0,0,0
jul-96,0.0137534,0,0,0,0,0,0,0
ago-96,0.0137534,0,0,0,0,0,0,0
sept-96,0.0142119,0,0,0,0,0,0,0
oct-96,0.0137534,0,0,0,0,0,0,0
nov-96,0.0142119,0,0,0,0,0,0,0
dic-96,0.0137534,0,0,0,0,0,0,0
ene-97,0.0137534,0,0,0,0,0,0,0
feb-97,0.015227,0,0,0,0,0,0,0
mar-97,0.0137534,0,0,0,0,0,0,0
abr-97,0.0144961,0,0,0,0,0,0,0
may-97,0.0140285,0,0,0,0,0,0,0
jun-97,0.0144961,0,0,0,0,0,0,0
jul-97,0.0140285,0,0,0,0,0,0,0
ago-97,0.0140285,0,0,0,0,0,0,0
sept-97,0.0144961,0,0,0,0,0,0,0
oct-97,0.0140285,0,0,0,0,0,0,0
nov-97,0.0144961,0,0,0,0,0,0,0
dic-97,0.0140285,0,0,0,0,0,0,0
ene-98,0.0140285,0,0,0,0,0,0,0
feb-98,0.0155315,0,0,0,0,0,0,0
mar-98,0.0140285,0,0,0,0,0,0,0
abr-98,0.014786,0,0,0,0,0,0,0
may-98,0.0143091,0,0,0,0,0,0,0
jun-98,0.014786,0,0,0,0,0,0,0
jul-98,0.0143091,0,0,0,0,0,0,0
ago-98,0.0143091,0,0,0,0,0,0,0
sept-98,0.014786,0,0,0,0,0,0,0
oct-98,0.0143091,0,0,0,0,0,0,0
nov-98,0.014786,0,0,0,0,0,0,0
dic-98,0.0143091,0,0,0,0,0,0,0
ene-99,0.0143091,0,0,0,0,0,0,0
feb-99,0.0158422,0,0,0,0,0,0,0
mar-99,0.0143091,0,0,0,0,0,0,0
abr-99,0.0150817,0,0,0,0,0,0,0
may-99,0.0145952,0,0,0,0,0,0,0
jun-99,0.0150817,0,0,0,0,0,0,0
jul-99,0.0145952,0,0,0,0,0,0,0
ago-99,0.0145952,0,0,0,0,0,0,0
sept-99,0.0150817,0,0,0,0,0,0,0
oct-99,0.0145952,0,0,0,0,0,0,0
nov-99,0.0150817,0,0,0,0,0,0,0
dic-99,0.0145952,0,0,0,0,0,0,0
ene-00,0.0145952,0,0,0,0,0,0,0
feb-00,0.0156018,0,0,0,0,0,0,0
mar-00,0.0145952,0,0,0,0,0,0,0
abr-00,0.0153834,0,0,0,0,0,0,0
may-00,0.0148871,0,0,0,0,0,0,0
jun-00,0.0153834,0,0,0,0,0,0,0.00001014
jul-00,0.0148871,0,0,0,0,0,0,0.0490645
ago-00,0.0148871,0,0,0,0,0,0,0.0490645
sept-00,0.0153834,0,0,0,0,0,0,0.0507
