,0,1,2,3,4,5,6,7,8
1981-01-01,9.0151211759868e-06,1.6455184628752856e-05,2.0805800734659156e-05,2.720609841113376e-05,2.8000478554061632e-05,3.962527771698958e-05,4.1043245664203335e-05,9.316782797535763e-05,
1981-01-02,,,,,,,,,
1981-01-03,,,,,,,,,
1981-01-04,,,,,,,,,
1981-01-05,,,,,,,,,
1981-01-06,,,,,,,,,
1981-01-07,,,,,,,,,
1981-01-08,,,,,,,,,
1981-01-09,,,,,,,,,
1981-01-10,,,,,,,,,
1981-01-11,,,,,,,,,
1981-01-12,,,,,,,,,
1981-01-13,,,,,,,,,
1981-01-14,,,,,,,,,
1981-01-15,,,,,,,,,
1981-01-16,,,,,,,,,
1981-01-17,,,,,,,,,
1981-01-18,,,,,,,,,
1981-01-19,,,,,,,,,
1981-01-20,,,,,,,,,
1981-01-21,,,,,,,,,
1981-01-22,,,,,,,,,
1981-01-23,,,,,,,,,
1981-01-24,,,,,,,,,
1981-01-25,,,,,,,,,
1981-01-26,,,,,,,,,
1981-01-27,,,,,,,,,
1981-01-28,,,,,,,,,
1981-01-29,,,,,,,,,
1981-01-30,,,,,,,,,
1981-01-31,,,,,,,,,
1981-02-01,7.089079518020501e-05,0.00012914985704561057,0.00015656439112586953,0.0002018699944962633,0.00021650128786254879,0.00023073644256915154,0.000283327388364181,0.0004206949046679813,
1981-02-02,,,,,,,,,
1981-02-03,,,,,,,,,
1981-02-04,,,,,,,,,
1981-02-05,,,,,,,,,
1981-02-06,,,,,,,,,
1981-02-07,,,,,,,,,
1981-02-08,,,,,,,,,
1981-02-09,,,,,,,,,
1981-02-10,,,,,,,,,
1981-02-11,,,,,,,,,
1981-02-12,,,,,,,,,
1981-02-13,,,,,,,,,
1981-02-14,,,,,,,,,
1981-02-15,,,,,,,,,
1981-02-16,,,,,,,,,
1981-02-17,,,,,,,,,
1981-02-18,,,,,,,,,
1981-02-19,,,,,,,,,
1981-02-20,,,,,,,,,
1981-02-21,,,,,,,,,
1981-02-22,,,,,,,,,
1981-02-23,,,,,,,,,
1981-02-24,,,,,,,,,
1981-02-25,,,,,,,,,
1981-02-26,,,,,,,,,
1981-02-27,,,,,,,,,
1981-02-28,,,,,,,,,
1981-03-01,2.3049121064718525e-05,2.6192033279701883e-05,3.0307524336419633e-05,3.17891823623006e-05,3.872907143400389e-05,7.24845767570465e-05,9.650380761011467e-05,8.685326063503804e-05,
1981-03-02,,,,,,,,,
1981-03-03,,,,,,,,,
1981-03-04,,,,,,,,,
1981-03-05,,,,,,,,,
1981-03-06,,,,,,,,,
1981-03-07,,,,,,,,,
1981-03-08,,,,,,,,,
1981-03-09,,,,,,,,,
1981-03-10,,,,,,,,,
1981-03-11,,,,,,,,,
1981-03-12,,,,,,,,,
1981-03-13,,,,,,,,,
1981-03-14,,,,,,,,,
1981-03-15,,,,,,,,,
1981-03-16,,,,,,,,,
1981-03-17,,,,,,,,,
1981-03-18,,,,,,,,,
1981-03-19,,,,,,,,,
1981-03-20,,,,,,,,,
1981-03-21,,,,,,,,,
1981-03-22,,,,,,,,,
1981-03-23,,,,,,,,,
1981-03-24,,,,,,,,,
1981-03-25,,,,,,,,,
1981-03-26,,,,,,,,,
1981-03-27,,,,,,,,,
1981-03-28,,,,,,,,,
1981-03-29,,,,,,,,,
1981-03-30,,,,,,,,,
1981-03-31,,,,,,,,,
1981-04-01,0.0003843815510089466,0.0006068546469972437,0.0007361657828835371,0.0009134131091041019,0.001097533045874689,0.0014089751432812278,0.0017587720183371218,0.00172895358668432,
1981-04-02,,,,,,,,,
1981-04-03,,,,,,,,,
1981-04-04,,,,,,,,,
1981-04-05,,,,,,,,,
1981-04-06,,,,,,,,,
1981-04-07,,,,,,,,,
1981-04-08,,,,,,,,,
1981-04-09,,,,,,,,,
1981-04-10,,,,,,,,,
1981-04-11,,,,,,,,,
1981-04-12,,,,,,,,,
1981-04-13,,,,,,,,,
1981-04-14,,,,,,,,,
1981-04-15,,,,,,,,,
1981-04-16,,,,,,,,,
