,0,1,2,3,4,5,6,7
2023-03-29,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07
2023-04-02,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06
2023-04-03,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-04-04,5.21540641784668e-06,5.21540641784668e-06,1.2139479319254558e-05,0.0001596210569870181,0.0002757572273345531,0.00032013779336755927,0.0004929078872813736,0.0004929078872813736
2023-04-05,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-04-06,0.0,0.0,0.0,0.0,0.0,0.0,4.3248021325399707e-07,4.3248021325399707e-07
2023-04-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07
2023-04-08,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06
2023-04-09,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06
2023-04-10,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.960101856542298e-07,8.960101856542298e-07
