,0,1,2,3,4,5,6,7
2000-01-01,0.0,1.8350247825895043e-06,5.302590559859302e-06,6.31126452308647e-06,1.2284439711663832e-05,2.190305127037896e-05,1.7240643501281738e-05,1.7240643501281738e-05
2000-01-02,1.7176186020151365e-06,1.7176186020151365e-06,1.7176186020151365e-06,1.7176186020151365e-06,1.7176186020151365e-06,1.7176186020151365e-06,1.7176186020151365e-06,1.7176186020151365e-06
2000-01-03,1.4245510051580368e-06,1.4240188208296852e-06,1.3089640973339366e-06,1.2650350499811982e-06,1.0941395740875146e-06,1.0801686131224465e-06,1.1861324260564745e-06,1.1861324260564745e-06
2000-01-04,0.0002621799889084,0.0001718566535503,0.0001107449212679,0.0001196352258226,6.000410456851061e-05,6.611891570301873e-05,6.363691716160247e-05,6.363691716160247e-05
2000-01-05,0.0015324223834909,0.0015151262863826,0.0013967208290151,0.0013608743634075,0.0011678083591528,0.0010847703594093,0.0011961627799905,0.0011961627799905
2000-01-06,0.0012764215468337,0.0012522438806123,0.0010797129370085,0.0010420304829917,0.000790580079148,0.0009067698420618,0.0010011672972609,0.0010011672972609
2000-01-07,0.0024262726306005,0.0025304996540658,0.0022703290423823,0.0021758492078476,0.0017425682435191,0.0018368973180888,0.0020778834818884,0.0020778834818884
2000-01-08,0.00052177906025,0.0005749289477437,0.0005223671758772,0.0004993401924352,0.0004043432997934,0.0004433295409785,0.000504478812104,0.000504478812104
2000-01-09,0.0023537425857398,0.0026300129880691,0.0023977450835726,0.0022904671231887,0.0018551731990983,0.0020409414854898,0.0023294238906714,0.0023294238906714
2000-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-12,9.86456768714561e-07,7.837477580453977e-07,6.281154006312042e-07,6.577908749908434e-07,4.652716860907006e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07
2000-01-13,3.010033651662525e-06,3.010033651662525e-06,3.010033651662525e-06,3.010033651662525e-06,3.010033651662525e-06,3.010033651662525e-06,3.010033651662525e-06,3.010033651662525e-06
2000-01-14,8.710002248335513e-07,8.710002248335513e-07,8.710002248335513e-07,8.710002248335513e-07,8.710002248335513e-07,8.710002248335513e-07,8.710002248335513e-07,8.710002248335513e-07
2000-01-15,6.186962025367393e-06,9.327062436373777e-06,2.2891794896244203e-05,2.3745962157794627e-05,4.163827906573428e-05,8.001082880454282e-06,8.392333882056846e-06,8.392333882056846e-06
2000-01-16,0.0075033485888411,0.0081949736389771,0.0083848820754691,0.0081637727048759,0.0081931694985481,0.0064800280280597,0.007203239202397,0.007203239202397
2000-01-17,0.0002754956482817,0.0001806017542565,0.00013905208184,0.0001331108063186,9.775020155739124e-05,3.377856342158572e-05,3.518462170859493e-05,3.518462170859493e-05
2000-01-18,8.523463748133508e-07,8.529849960073729e-07,8.534440662456785e-07,8.57148360293745e-07,8.59392910909357e-07,9.106774160678998e-07,8.821486972010462e-07,8.821486972010462e-07
2000-01-19,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2000-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-21,1.7106522136600688e-06,1.7106522136600688e-06,1.7106522136600688e-06,1.7106522136600688e-06,1.7106522136600688e-06,1.7106522136600688e-06,1.7106522136600688e-06,1.7106522136600688e-06
2000-01-22,1.7285328794969246e-06,1.7285328794969246e-06,1.7285328794969246e-06,1.7285328794969246e-06,1.7285328794969246e-06,1.7285328794969246e-06,1.7285328794969246e-06,1.7285328794969246e-06
2000-01-23,1.7152830196209834e-06,1.7152830196209834e-06,1.7152830196209834e-06,1.718704434275764e-06,1.7152830196209834e-06,1.7152830196209834e-06,1.7152830196209834e-06,1.7152830196209834e-06
2000-01-24,1.293522416290216e-06,1.293522416290216e-06,1.293522416290216e-06,1.293522416290216e-06,1.293522416290216e-06,1.293522416290216e-06,1.293522416290216e-06,1.293522416290216e-06
2000-01-25,1.2874602361989671e-06,1.2874602361989671e-06,1.2874602361989671e-06,1.2874602361989671e-06,1.2874602361989671e-06,1.2874602361989671e-06,1.2874602361989671e-06,1.2874602361989671e-06
2000-01-26,5.088357107752017e-05,5.70842635608772e-05,5.227684337028783e-05,4.9993222944636616e-05,4.086401089664097e-05,4.4894959962170506e-05,5.098787920587711e-05,5.098787920587711e-05
2000-01-27,6.0084462063514366e-05,6.679104896940253e-05,6.07164304633912e-05,5.802385506285417e-05,4.681124464920456e-05,5.173280697559504e-05,5.896687497397579e-05,5.896687497397579e-05
2000-01-28,0.0028290038800378,0.0031413977837701,0.0030451830111821,0.0029432787693585,0.0026599360162507,0.0024227100925298,0.0027407890057702,0.0027407890057702
2000-01-29,0.0036932706831862,0.003877137335181,0.0039589612412702,0.003887315254935,0.0038818505347174,0.0032794242994393,0.003496083617108,0.003496083617108
2000-01-30,0.0012547373685265,0.0013304935947936,0.0014875928748913,0.0014826817068362,0.0016761851650998,0.0014300468554047,0.001418590537014,0.001418590537014
2000-01-31,0.0002111375331423,0.000296035515365,0.0006451836057773,0.0006662025792146,0.0010838230364297,0.0001820586175545,0.0002087533473513,0.0002087533473513
2000-02-01,1.6850233009790827e-05,2.180061163211836e-05,3.9177441397049785e-05,3.994295117259635e-05,6.144743672581238e-05,1.6748599448827663e-05,1.819133751723712e-05,1.819133751723712e-05
2000-02-02,0.0005880057811396,0.0006787312881946,0.0007586601359727,0.0007611789131591,0.0008595261423469,0.0006713554899575,0.0007073342799799,0.0007073342799799
2000-02-03,0.000627174973431,0.000612862993507,0.0005775660714921,0.0005623221336806,0.0005296676574664,0.000564077216279,0.0005753338336376,0.0005753338336376
2000-02-04,0.0013365328310896,0.0014758294181141,0.0016121830728466,0.0015812101079795,0.0016825641053887,0.0011280118399191,0.0012585103510787,0.0012585103510787
2000-02-05,0.0048553551669101,0.0055334495369347,0.0056349697603527,0.0054874499095785,0.0053635738473519,0.0044180037933843,0.0049824322695712,0.0049824322695712
2000-02-06,0.0003301769494896,0.0003753135246776,0.0003600120105243,0.0003479041991883,0.0003133505000871,0.0003376182327808,0.0003675937652474,0.0003675937652474
