date,0,1,2,3,4,5,6,7
1979-01-01,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-02,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-03,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-04,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-05,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-06,-7.345364920210326e-25,1.021793910435268e-08,1.0047535577238961e-07,1.2625220158869245e-07,2.655703695632372e-07,6.18122242115162e-07,4.76837158203125e-07,4.76837158203125e-07
1979-01-07,-7.345364920210326e-25,1.1920928955078129e-08,1.1847749526256285e-07,1.8107486915652407e-07,3.269420356226416e-07,9.69297186261908e-07,5.563100179036459e-07,5.563100179036459e-07
1979-01-08,-7.345364920210326e-25,6.130763462611608e-08,2.604455871769371e-07,3.476237322348562e-07,6.906898316488866e-07,1.6556845770941845e-06,1.231829325358073e-06,1.231829325358073e-06
1979-01-09,-7.345364920210326e-25,1.3623918805803573e-08,1.440171159213858e-07,1.915992206677209e-07,4.315841741003338e-07,8.857487952946937e-07,6.357828776041666e-07,6.357828776041666e-07
1979-01-10,-7.345364920210326e-25,1.7029898507254455e-09,4.0614582996122534e-08,4.3097819686536216e-08,1.1507187386138324e-07,2.424941103682559e-07,7.947285970052084e-08,7.947285970052084e-08
1979-01-11,-7.345364920210326e-25,8.459602083478657e-07,1.946719165518651e-06,2.515199961539041e-06,4.265675575769387e-06,1.106133148541138e-05,8.463859558105469e-06,8.463859558105469e-06
1979-01-12,-7.345364920210326e-25,2.532913571312314e-06,9.037952177212822e-06,1.1015234476930145e-05,2.282017482335552e-05,3.548768850473258e-05,2.678235371907552e-05,2.678235371907552e-05
1979-01-13,-7.345364920210326e-25,6.303900764102027e-07,5.84996354001808e-06,6.576199065762583e-06,1.6541818907014377e-05,1.1420657492091512e-05,8.225440979003906e-06,8.225440979003906e-06
1979-01-14,-7.345364920210326e-25,8.500757671537856e-08,9.706519438929175e-07,1.091531316239228e-06,2.612605615534476e-06,1.8041018407229347e-06,1.2715657552083333e-06,1.2715657552083333e-06
1979-01-15,-7.345364920210326e-25,2.341611044747489e-08,2.2173366933018245e-07,2.153290322500013e-07,4.23654127362321e-07,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-16,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-17,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-18,-7.345364920210326e-25,1.8518595468430292e-06,4.29094898839755e-06,5.336766596727221e-06,9.224971652634318e-06,2.3216603488324376e-05,1.823902130126953e-05,1.823902130126953e-05
1979-01-19,-7.345364920210326e-25,3.5193704423450294e-06,8.155920521623157e-06,1.0127747527061992e-05,1.7504974801042163e-05,4.371550687697539e-05,3.417332967122396e-05,3.417332967122396e-05
1979-01-20,-7.345364920210326e-25,1.1068014871506464e-06,2.627653750705895e-06,3.220211463152222e-06,5.597923427755559e-06,1.3689030269611937e-05,1.0569890340169271e-05,1.0569890340169271e-05
1979-01-21,-7.345364920210326e-25,4.172325134277344e-08,3.430651623167972e-07,4.699543123478935e-07,9.805675183873373e-07,2.555697731822305e-06,1.9470850626627603e-06,1.9470850626627603e-06
1979-01-22,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,1.7388933404558405e-07,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-23,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-24,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-26,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-27,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-28,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-29,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25,-7.345364920210326e-25
1979-01-30,-7.345364920210326e-25,3.7962482089088085e-07,8.998874362221958e-07,1.25812019586323e-06,2.105944585903606e-06,5.541703639886318e-06,4.172325134277344e-06,4.172325134277344e-06
1979-01-31,-7.345364920210326e-25,2.3201107978820804e-05,5.2711288939230713e-05,6.565118484266574e-05,0.00011252607027,0.0002833387450954,0.0002223253250122,0.0002223253250122
1979-02-01,-7.345364920210326e-25,0.0001080050354912,0.0002470051605618,0.0003064707967009,0.0005273448326237,0.0013270510567559,0.0010401010513305,0.0010401010513305
1979-02-02,-7.345364920210326e-25,4.166265328725179e-05,9.811780729346512e-05,0.0001219637884554,0.0002127441046294,0.000529019241659,0.0004142522811889,0.0004142522811889
1979-02-03,-7.345364920210326e-25,1.1285287993294852e-05,2.739501189717199e-05,3.412374917113889e-05,6.0207155935159216e-05,0.0001504394063922,0.0001170635223388,0.0001170635223388
1979-02-04,-7.345364920210326e-25,2.965331077575684e-06,7.996535725649183e-06,9.924543508149984e-06,1.840046670931625e-05,4.324817929172789e-05,3.2901763916015625e-05,3.2901763916015625e-05
1979-02-05,-7.345364920210326e-25,6.404660996936616e-07,2.1271796369933147e-06,2.677387021139349e-06,5.0660069231873214e-06,1.2044893031106714e-05,9.099642435709637e-06,9.099642435709637e-06
1979-02-06,2.066294352213541e-06,1.88268366314116e-05,4.024297785656521e-05,4.927045188921736e-05,8.357415919879687e-05,0.0002053857189298,0.0001612504323323,0.0001612504323323
1979-02-07,5.618731180826823e-05,0.0001930441175188,0.0003532728876637,0.0004226785652106,0.0006777599766387,0.0016805877712717,0.0013180176417032,0.0013180176417032
1979-02-08,0.0001526276270548,0.0002817136900765,0.0004188300203589,0.0004767914993245,0.0007017764679694,0.0016239531699069,0.0012636979420979,0.0012636979420979
1979-02-09,0.0001017649968465,0.0001482102132978,0.00018287100186,0.0001997687185158,0.0002591577200293,0.000621363308355,0.0004569292068481,0.0004569292068481
