name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ddsd,-0.433209,0.330555,-1.09432,0.227901,-0.433209,0.00181645,-0.436842,-0.429576
ddsw,-0.421017,0.330555,-1.08213,0.240092,-0.421017,0.0021562,-0.42533,-0.416705
ddgd,-0.00243015,2.08055,-4.16354,4.15868,-0.00243015,1.46419,-2.93081,2.92595
ddgw,-0.830956,2.08055,-4.99207,3.33015,-0.830956,1.47907,-3.78911,2.12719
rcs1d,0.30103,2.07526,-3.84949,4.45154,0.30103,0.015423,0.270184,0.331876
rcs1w,0.30103,2.07526,-3.84949,4.45154,0.30103,0.0377014,0.225627,0.376433
rcs2d,0.30103,2.07526,-3.84949,4.45154,0.30103,0.0140052,0.27302,0.32904
rcs2w,-1.69292,2.07526,-5.84343,2.4576,-0.941974,0.173577,-1.28913,-0.594821
rcs3d,-0.0980903,2.07526,-4.24861,4.05242,-0.0980903,0.0155352,-0.129161,-0.06702
rcs3w,-2.20213,2.07526,-6.35265,1.94838,-2.20213,0.973138,-4.14841,-0.255854
rcs4d,-2.02575,2.07526,-6.17627,2.12476,-2.02575,0.164009,-2.35377,-1.69774
rcs4w,-2.66782,2.07526,-6.81834,1.48269,-2.66782,0.998277,-4.66438,-0.671269
rcs5d,-1.49568,2.07526,-5.64619,2.65484,-1.49568,0.108135,-1.71195,-1.27941
rcs5w,-0.0556188,2.07526,-4.20613,4.0949,-0.0556188,0.00876197,-0.0731427,-0.0380948
rcs6d,-1.56658,2.07526,-5.71709,2.58394,-0.816577,0.108277,-1.03313,-0.600023
rcs6w,0.30103,2.07526,-3.84949,4.45154,0.30103,0.0159106,0.269209,0.332851
rcs7d,-2.32094,2.07526,-6.47146,1.82957,-2.32094,1.97857,-6.27809,1.63621
rcs7w,0,2.07526,-4.15051,4.15051,0,2.07526,-4.15051,4.15051
rcs8d,-0.370068,2.07526,-4.52058,3.78045,-0.370068,2.07526,-4.52058,3.78045
rcs8w,-0.0362183,2.07526,-4.18673,4.1143,-0.0362183,2.07526,-4.18673,4.1143
rcr1d,0.21017,2.07526,-3.94034,4.36069,0.21017,0.00630961,0.197551,0.222789
rcr1w,-0.150814,2.07526,-4.30133,3.9997,-0.150814,0.0213212,-0.193456,-0.108171
rcr2d,-2.70465,2.07526,-6.85517,1.44586,-2.70465,1.24142,-5.1875,-0.221807
rcr2w,-2.3955,2.07526,-6.54602,1.75501,-2.3955,1.24061,-4.87672,0.0857176
rcr3d,-3.05024,2.07526,-7.20075,1.10028,-3.05024,1.66511,-6.38046,0.279989
rcr3w,-2.37566,2.07526,-6.52617,1.77486,-2.37566,0.754408,-3.88447,-0.866839
rcr4d,-3.47458,2.07526,-7.62509,0.675937,-3.47458,1.74917,-6.97293,0.0237695
rcr4w,-2.86468,2.07526,-7.0152,1.28583,-2.86468,0.971107,-4.8069,-0.922468
rcr5d,-3.14578,2.07526,-7.29629,1.00474,-3.14578,0.845813,-4.83741,-1.45415
rcr5w,-2.82424,2.07526,-6.97475,1.32628,-2.82424,0.958922,-4.74208,-0.906393
rcr6d,-2.52685,2.07526,-6.67736,1.62367,-2.52685,1.09295,-4.71274,-0.340955
rcr6w,-2.53626,2.07526,-6.68678,1.61425,-2.53626,1.62842,-5.7931,0.72058
rcr7d,-2.07637,2.07526,-6.22689,2.07414,-2.07637,1.78922,-5.65481,1.50207
rcr7w,-1.93528,2.07526,-6.0858,2.21523,-1.93528,1.88149,-5.69827,1.8277
rcr8d,-2.20537,2.07526,-6.35588,1.94515,-1.45537,2.07521,-5.60579,2.69506
rcr8w,-1.87884,2.07526,-6.02935,2.27168,-1.87884,2.07526,-6.02935,2.27167
rcgd,-1.60258,2.07526,-5.7531,2.54793,-1.60258,1.47437,-4.55132,1.34615
rcgw,-0.15419,2.07526,-4.3047,3.99633,-0.15419,1.45951,-3.07321,2.76483
tl,0.69897,2.17474,-3.65051,5.04846,0.69897,0.000918658,0.697133,0.700807
xw,-0.0211828,2.08055,-4.18229,4.13993,-0.0211828,0.000190201,-0.0215632,-0.0208024
yw,-3.59461,2,-7.59461,0.405395,-3.59461,1.97842,-7.55144,0.362227
x,0.0631257,2.09043,-4.11774,4.24399,0.0631257,2.09043,-4.11774,4.24399
y,-1.54562,2,-5.54562,2.45438,-1.54562,2,-5.54562,2.45438
tlr,-1.16622,2.25,-5.66622,3.33378,-1.16749,2.25,-5.66749,3.33251
tls,-0.653647,2.36928,-5.39221,4.08491,-0.653647,2.36928,-5.39221,4.08491
tcrit,-3.1261,1.32526,-5.77661,-0.475583,-3.12494,1.24292,-5.61077,-0.639108
