Fecha-Hora de Medicion,RÃ­o Hurtado Caudal (m3/seg)Media
2022-08-25,0.905
2022-08-26,0.929
2022-08-27,0.942
2022-08-28,0.9
2022-08-29,0.942
2022-08-30,0.948
2022-08-31,0.982
2022-09-01,0.908
2022-09-02,0.891
2022-09-03,0.818
2022-09-04,0.831
2022-09-05,0.834
2022-09-06,0.882
2022-09-07,0.899
2022-09-08,0.829
2022-09-09,0.804
2022-09-10,0.847
2022-09-11,0.848
2022-09-12,0.775
2022-09-13,0.81
2022-09-14,0.75
2022-09-15,0.79
2022-09-16,0.851
2022-09-17,0.853
2022-09-18,0.735
2022-09-19,0.691
2022-09-20,0.756
2022-09-21,0.709
2022-09-22,0.741
2022-09-23,0.806
2022-09-24,0.757
2022-09-25,0.695
2022-09-26,0.725
2022-09-27,0.76
2022-09-28,0.802
2022-09-29,0.783
2022-09-30,0.798
2022-10-01,0.838
2022-10-02,0.83
2022-10-03,0.911
2022-10-04,0.848
2022-10-05,0.788
2022-10-06,0.799
2022-10-07,0.844
2022-10-08,0.785
2022-10-09,0.762
2022-10-10,0.78
2022-10-11,0.745
2022-10-12,0.762
2022-10-13,0.775
2022-10-14,0.798
2022-10-15,0.833
2022-10-16,0.878
2022-10-17,0.901
2022-10-18,0.878
2022-10-19,0.82
2022-10-20,0.795
2022-10-21,0.808
2022-10-22,0.823
2022-10-23,0.851
2022-10-24,0.886
2022-10-25,0.918
2022-10-26,0.876
2022-10-27,0.949
2022-10-28,0.966
2022-10-29,1.002
2022-10-30,1.07
2022-10-31,1.06
2022-11-01,1.02
2022-11-02,1.024
2022-11-03,0.981
2022-11-04,0.996
2022-11-05,1.055
2022-11-06,1.101
2022-11-07,1.145
2022-11-08,1.188
2022-11-09,1.227
2022-11-10,1.186
2022-11-11,1.19
2022-11-12,1.133
2022-11-13,1.097
2022-11-14,1.044
2022-11-15,1.009
2022-11-16,1.006
2022-11-17,1.051
2022-11-18,1.1
2022-11-19,1.186
2022-11-20,1.231
2022-11-21,1.234
2022-11-22,1.234
2022-11-23,1.231
2022-11-24,1.223
2022-11-25,1.207
2022-11-26,1.31
2022-11-27,1.338
2022-11-28,1.384
2022-11-29,1.415
2022-11-30,1.382
2022-12-01,1.351
2022-12-02,1.336
2022-12-03,1.288
2022-12-04,1.247
2022-12-05,1.229
2022-12-06,1.215
2022-12-07,1.202
2022-12-08,1.172
2022-12-09,1.14
2022-12-10,1.149
2022-12-11,1.172
2022-12-12,1.155
2022-12-13,1.175
2022-12-14,1.17
2022-12-15,1.138
2022-12-16,1.146
2022-12-17,1.163
2022-12-18,1.17
2022-12-19,1.116
2022-12-20,1.062
2022-12-21,1.064
2022-12-22,1.047
2022-12-23,1.061
2022-12-24,1.105
2022-12-25,1.105
2022-12-26,1.214
2022-12-27,1.331
2022-12-28,1.207
2022-12-29,1.162
2022-12-30,1.129
2022-12-31,1.129
2023-01-01,1.124
2023-01-02,1.109
2023-01-03,1.102
2023-01-04,1.107
2023-01-05,1.122
2023-01-06,1.166
2023-01-07,1.343
2023-01-08,1.249
2023-01-09,1.327
2023-01-10,1.175
2023-01-11,1.129
2023-01-12,1.049
2023-01-13,1.029
2023-01-14,1.083
2023-01-15,1.037
2023-01-16,1.014
2023-01-17,1.021
2023-01-18,1.014
2023-01-19,1.003
2023-01-20,0.994
2023-01-21,0.997
2023-01-22,0.999
2023-01-23,0.985
2023-01-24,0.958
2023-01-25,0.939
2023-01-26,0.951
2023-01-27,0.991
2023-01-28,0.994
2023-01-29,0.997
2023-01-30,0.996
2023-01-31,0.97
2023-02-01,0.981
2023-02-02,0.973
2023-02-03,0.997
2023-02-04,1.014
2023-02-05,1.025
2023-02-06,1.006
2023-02-07,0.994
2023-02-08,0.984
2023-02-09,0.825
2023-02-10,0.843
2023-02-11,0.98
2023-02-12,0.954
2023-02-13,0.921
2023-02-14,0.883
2023-02-15,0.903
2023-02-16,0.918
2023-02-17,0.97
2023-02-18,0.977
2023-02-19,1.014
2023-02-20,1.017
2023-02-21,0.988
2023-02-22,1.017
2023-02-23,0.999
2023-02-24,1.007
2023-02-25,1.012
2023-02-26,0.999
2023-02-27,0.994
2023-02-28,0.954
2023-03-01,0.951
2023-03-02,0.951
2023-03-03,0.931
2023-03-04,0.929
2023-03-05,0.951
2023-03-06,0.951
2023-03-07,0.951
2023-03-08,0.951
2023-03-09,0.951
2023-03-10,0.949
2023-03-11,0.926
2023-03-12,0.949
2023-03-13,0.951
2023-03-14,0.951
2023-03-15,0.946
2023-03-16,0.929
2023-03-17,0.941
2023-03-18,0.891
2023-03-19,0.88
2023-03-20,0.886
2023-03-21,0.914
2023-03-22,0.916
2023-03-23,0.759
2023-03-24,0.773
2023-03-25,0.886
2023-03-26,0.881
2023-03-27,0.783
