Sources and Destinations,Decrease in Storage for Embalse El Bato,Increase in Storage for Embalse El Bato,Inflow from Upstream,Net Evaporation,Outflow to Acuifero_3,Outflow to Downstream,Sum
abr-89,0,0,0.689371,0,0,-0.689371,0
may-89,0,0,0.849729,0,0,-0.849729,0
jun-89,0,0,0.63451,0,0,-0.63451,0
jul-89,0,0,0.651685,0,0,-0.651685,0
ago-89,0,0,1.30517,0,0,-1.30517,0
sept-89,0,0,1.46609,0,0,-1.46609,0
oct-89,0,0,2.63204,0,0,-2.63204,0
nov-89,0,0,3.10823,0,0,-3.10823,0
dic-89,0,0,1.86652,0,0,-1.86652,0
ene-90,0,0,1.2557,0,0,-1.2557,0
feb-90,0,0,1.03709,0,0,-1.03709,0
mar-90,0,0,0.914182,0,0,-0.914182,0
abr-90,0,0,0.867786,0,0,-0.867786,0
may-90,0,0,0.802995,0,0,-0.802995,0
jun-90,0,0,0.79758,0,0,-0.79758,0
jul-90,0,0,0.8024,0,0,-0.8024,0
ago-90,0,0,0.736542,0,0,-0.736542,0
sept-90,0,0,0.892271,0,0,-0.892271,0
oct-90,0,0,0.955451,0,0,-0.955451,0
nov-90,0,0,0.799139,0,0,-0.799139,0
dic-90,0,0,0.621954,0,0,-0.621954,0
ene-91,0,0,0.534808,0,0,-0.534808,0
feb-91,0,0,0.441897,0,0,-0.441897,0
mar-91,0,0,0.415885,0,0,-0.415885,0
abr-91,0,0,0.541963,0,0,-0.541963,0
may-91,0,0,0.634665,0,0,-0.634665,0
jun-91,0,0,1.58697,0,0,-1.58697,0
jul-91,0,0,1.93339,0,0,-1.93339,0
ago-91,0,0,1.72815,0,0,-1.72815,0
sept-91,0,0,4.85233,0,0,-4.85233,0
oct-91,0,0,4.72808,0,0,-4.72808,0
nov-91,0,0,10.3707,0,0,-10.3707,0
dic-91,0,0,9.14873,0,0,-9.14873,0
ene-92,0,0,4.7853,0,0,-4.7853,0
feb-92,0,0,2.6893,0,0,-2.6893,0
mar-92,0,0,1.84475,0,0,-1.84475,0
abr-92,0,0,2.08939,0,0,-2.08939,0
may-92,0,0,1.82673,0,0,-1.82673,0
jun-92,0,0,2.45056,0,0,-2.45056,0
jul-92,0,0,2.35547,0,0,-2.35547,0
ago-92,0,0,2.12918,0,0,-2.12918,0
sept-92,0,0,4.41721,0,0,-4.41721,0
oct-92,0,0,8.47419,0,0,-8.47419,0
nov-92,0,0,12.5826,0,0,-12.5826,0
dic-92,0,0,7.30501,0,0,-7.30501,0
ene-93,0,0,4.73897,0,0,-4.73897,0
feb-93,0,0,2.8336,0,0,-2.8336,0
mar-93,0,0,1.87915,0,0,-1.87915,0
abr-93,0,0,2.11495,0,0,-2.11495,0
may-93,0,0,3.99859,0,0,-3.99859,0
jun-93,0,0,2.40435,0,0,-2.40435,0
jul-93,0,0,1.96561,0,0,-1.96561,0
ago-93,0,0,1.5942,0,0,-1.5942,0
sept-93,0,0,1.73999,0,0,-1.73999,0
oct-93,0,0,2.94931,0,0,-2.94931,0
nov-93,0,0,3.35747,0,0,-3.35747,0
dic-93,0,0,2.52512,0,0,-2.52512,0
ene-94,0,0,1.7547,0,0,-1.7547,0
feb-94,0,0,1.36211,0,0,-1.36211,0
mar-94,0,0,1.19867,0,0,-1.19867,0
abr-94,0,0,1.0732,0,0,-1.0732,0
may-94,0,0,1.00389,0,0,-1.00389,0
jun-94,0,0,0.96552,0,0,-0.96552,0
jul-94,0,0,0.969958,0,0,-0.969958,0
ago-94,0,0,1.14773,0,0,-1.14773,0
sept-94,0,0,1.15697,0,0,-1.15697,0
oct-94,0,0,1.00731,0,0,-1.00731,0
nov-94,0,0,0.757821,0,0,-0.757821,0
dic-94,0,0,0.468106,0,0,-0.468106,0
ene-95,0,0,0.716784,0,0,-0.716784,0
feb-95,0,0,0.665195,0,0,-0.665195,0
mar-95,0,0,0.608404,0,0,-0.608404,0
abr-95,0,0,0.60679,0,0,-0.60679,0
may-95,0,0,0.57822,0,0,-0.57822,0
jun-95,0,0,0.616775,0,0,-0.616775,0
jul-95,0,0,0.581722,0,0,-0.581722,0
ago-95,0,0,0.558217,0,0,-0.558217,0
sept-95,0,0,0.667471,0,0,-0.667471,0
oct-95,0,0,0.573259,0,0,-0.573259,0
nov-95,0,0,0.435192,0,0,-0.435192,0
dic-95,0,0,0.334121,0,0,-0.334121,0
ene-96,0,0,0.368515,0,0,-0.368515,0
feb-96,0,0,0.340753,0,0,-0.340753,0
mar-96,0,0,0.317424,0,0,-0.317424,0
abr-96,0,0,0.371354,0,0,-0.371354,0
may-96,0,0,0.437725,0,0,-0.437725,0
jun-96,0,0,0.471854,0,0,-0.471854,0
jul-96,0,0,0.895859,0,0,-0.895859,0
ago-96,0,0,1.11922,0,0,-1.11922,0
sept-96,0,0,0.719501,0,0,-0.719501,0
oct-96,0,0,0.908013,0,0,-0.908013,0
nov-96,0,0,0.761338,0,0,-0.761338,0
dic-96,0,0,0.559533,0,0,-0.559533,0
ene-97,0,0,0.447775,0,0,-0.447775,0
feb-97,0,0,0.389153,0,0,-0.389153,0
mar-97,0,0,0.392991,0,0,-0.392991,0
abr-97,0,0,0.412852,0,0,-0.412852,0
may-97,0,0,0.489433,0,0,-0.489433,0
jun-97,0,0,1.38261,0,0,-1.38261,0
jul-97,0,0,1.98474,0,0,-1.98474,0
ago-97,0,0,4.79297,0,0,-4.79297,0
sept-97,0,0,8.60817,0,0,-8.60817,0
oct-97,0,0,9.59601,0,0,-9.59601,0
nov-97,0,0,20.302,0,0,-20.302,0
dic-97,0,0,37.004,0,0,-37.004,0
ene-98,0,0,28.0427,0,0,-28.0427,0
feb-98,0,0,8.46955,0,0,-8.46955,0
mar-98,0,0,4.68436,0,0,-4.68436,0
abr-98,0,0,3.86436,0,0,-3.86436,0
may-98,0,0,2.3886,0,0,-2.3886,0
jun-98,0,0,1.69149,0,0,-1.69149,0
jul-98,0,0,1.37569,0,0,-1.37569,0
ago-98,0,0,1.1575,0,0,-1.1575,0
sept-98,0,0,0.967179,0,0,-0.967179,0
oct-98,0,0,0.945814,0,0,-0.945814,0
nov-98,0,0,0.874739,0,0,-0.874739,0
dic-98,0,0,0.887441,0,0,-0.887441,0
ene-99,0,0,0.793266,0,0,-0.793266,0
feb-99,0,0,0.718816,0,0,-0.718816,0
mar-99,0,0,0.711167,0,0,-0.711167,0
abr-99,0,0,0.73773,0,0,-0.73773,0
may-99,0,0,0.775505,0,0,-0.775505,0
jun-99,0,0,0.814627,0,0,-0.814627,0
jul-99,0,0,0.80142,0,0,-0.80142,0
