,0,1,2,3,4,5,6
2023-03-29,8.52346317969932e-07,2.744320736852272e-06,6.553586821533002e-06,1.3273259294291426e-05,1.4436467177992818e-05,2.1078684049490836e-05,2.401471127768673e-05
2023-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07
2023-04-02,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06
2023-04-03,8.52346317969932e-07,9.800705567743404e-07,1.1943701404664541e-06,1.5327345160384227e-06,1.5927477647892376e-06,1.962933573780436e-06,1.972913639747276e-06
2023-04-04,0.0,3.1851586841401595e-05,9.493698488991214e-05,0.0002068552103909579,0.0002267897850082767,0.0003386450619884233,0.0003871142864227295
2023-04-05,8.52346317969932e-07,9.0698390901404e-07,9.438619400189397e-07,1.1042525093773885e-06,1.172751326301354e-06,1.4274462935830204e-06,1.6748904158703224e-06
2023-04-06,0.0,6.723262014843168e-06,2.006005566075163e-05,4.3630187690493614e-05,4.777126014232636e-05,7.126414054653399e-05,8.171498775482177e-05
2023-04-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07
2023-04-08,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06
2023-04-09,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06
2023-04-10,8.52346317969932e-07,1.4512310821417138e-06,2.6174310344789055e-06,4.690131548764846e-06,5.071057324995867e-06,7.171181070768862e-06,7.915496723853721e-06
2023-04-11,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06
2023-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-13,9.655952453613281e-06,9.851086707342237e-06,7.390554221171252e-06,4.561816750778982e-06,3.1618100981558527e-06,3.8142200042344502e-06,2.384185791015625e-07
2023-04-14,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07
2023-04-15,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2898632465711215e-06,1.3113020713717567e-06,1.3321955144691793e-06,1.3709067161471467e-06
2023-04-16,0.00011287927617331661,0.00011140571689970279,8.141336565762137e-05,4.9984125178250565e-05,3.4949507822500075e-05,3.960480459169806e-05,5.078315632545128e-06
2023-04-17,0.00018591184067417998,0.0001898606483905496,0.000142584605848182,8.953431055737124e-05,6.30700626130977e-05,7.723814934883956e-05,9.538716551560357e-06
2023-04-18,1.7169455190924054e-06,1.7169455190924054e-06,1.7169455190924054e-06,1.7169455190924054e-06,1.7169455190924054e-06,1.7169455190924054e-06,1.7169455190924054e-06
2023-04-19,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06
2023-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-21,2.440810203552246e-05,2.6711395808628625e-05,2.3864069074954626e-05,3.0037560481798973e-05,3.5831884991738106e-05,5.6437113955351816e-05,8.671879768371583e-05
2023-04-22,0.0004177391529083252,0.0004955146993909563,0.0007234811782836913,0.0009807125617392921,0.0010300333341283186,0.001141384509110366,0.0011810064315795898
2023-04-23,0.004563304781811439,0.004826351432470909,0.005698489299257993,0.0062425911425521,0.0062956757481959285,0.005987597222327685,0.005711051821606361
2023-04-24,4.48822964926876e-06,4.938812380606534e-06,6.7108924760227714e-06,9.991764448776717e-06,1.2326691077188089e-05,1.5101568452325904e-05,2.470612515708126e-05
2023-04-25,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06
2023-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-28,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-04-29,0.0007815271610525087,0.000672519017233941,0.0005087015196003671,0.00040714596987800536,0.0003872147365273709,0.00032637469230329617,0.00043510198538569965
2023-04-30,0.00364894270893501,0.003029660620352532,0.00199992454273484,0.0012882288972038602,0.0010416129303214277,0.0006598074770990239,0.000930848717655408
2023-05-01,8.604752679275407e-07,9.565049733990033e-07,1.1461277164737524e-06,1.482024493534949e-06,1.5554522072365688e-06,1.9010111574139418e-06,2.0466076989578145e-06
2023-05-02,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07
2023-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-04,9.299218654135188e-05,9.687571298011037e-05,0.00011100530061584298,0.00011370450611144847,0.00011225250819501024,9.691389641654695e-05,7.402896880606135e-05
2023-05-05,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06
2023-05-06,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07
2023-05-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07
2023-05-08,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07
2023-05-09,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07
2023-05-10,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-05-11,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07
2023-05-12,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06
2023-05-13,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07
2023-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-15,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06
2023-05-16,7.045268944239069e-06,6.192354860667408e-06,4.5781427277105174e-06,3.5428481871112245e-06,3.1906750212240903e-06,2.7901124441795545e-06,2.5749205860847724e-06
2023-05-17,0.003955519199280388,0.0040647986388432315,0.0038412180148420785,0.0041169056071627165,0.004558696753945463,0.005725061787314099,0.007391393184570915
2023-05-18,0.0,0.0,0.0,0.0,0.0,5.302904339447565e-09,4.76837158203125e-08
2023-05-19,0.00013437867164611816,0.00013712190446399508,0.00010228522543637256,6.343123941082257e-05,4.466887443296371e-05,5.5481318477209787e-05,1.043081283569336e-05
2023-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,0.00024586915969848633,0.0002682473924424913,0.00035506515008098676,0.00044671949661767525,0.0004729474143635842,0.0004942833953056471,0.0005645275115966797
2023-05-22,0.0006653606891582342,0.0006175407341498637,0.0005766110600115863,0.0006448702378656759,0.0006820162217413481,0.0007740637585736152,0.0010666728019664618
2023-05-23,0.002497944235756222,0.0026174420874761537,0.0032672854245378883,0.0036542082609882878,0.003751199698450775,0.0033548319042334815,0.0032222539186022915
2023-05-24,0.0002439509367491155,0.0002821362266770068,0.0003791159960906901,0.0005425577207253123,0.0006020928954626471,0.0007496269856795451,0.0009811352228666693
2023-05-25,0.0007368505000044934,0.0007709689555583051,0.0006571013127959219,0.000573399780664919,0.0005139449309856373,0.0006635748617839203,0.0005486398934294812
2023-05-26,0.0012218534945418469,0.0013238372782789084,0.0014487565687343977,0.0017178799322861683,0.0018278697804996757,0.0022185390847258794,0.0026440560816695323
2023-05-27,3.904104119101248e-06,5.197430300179963e-06,7.03728412559631e-06,1.367749892615537e-05,1.7160159091549906e-05,2.694299625417835e-05,4.346966732100554e-05
2023-05-28,2.0677695715676236e-06,6.248136602362281e-06,1.4810792778170477e-05,5.257434252112412e-05,9.188620105665142e-05,0.0001469796001071305,0.00025290199617984395
2023-05-29,0.00011968612670898438,0.00017230283646356493,0.00027939199276690214,0.0005234272583671237,0.0006399798176942333,0.0009287031519879652,0.0013875484466552735
2023-05-30,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07
2023-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,1.0967254588933883e-06,1.0423243942174365e-06,9.35483648616565e-07,8.809236619990888e-07,8.692724520413308e-07,8.583068797918258e-07,8.583068797918258e-07
2023-06-02,1.2843068532220059e-05,1.0990120964083508e-05,7.927934570128648e-06,6.12576642092233e-06,5.270875232649668e-06,4.510508885559312e-06,4.7964414875423245e-06
2023-06-03,4.78059052397839e-05,3.886544504984345e-05,2.3803508404312795e-05,1.2370178248499863e-05,8.170348639997693e-06,1.0890679676828714e-06,8.52346317969932e-07
2023-06-04,1.2814998058274796e-06,1.307044653588361e-06,1.3571302277358761e-06,1.6374785341105438e-06,1.8579584368507637e-06,2.341762499456626e-06,3.6180018810227922e-06
2023-06-05,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-06-06,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07
2023-06-07,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06
2023-06-08,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-06-09,2.5749205860847724e-06,1.5263377605830128e-05,4.037101306931738e-05,8.615694727126422e-05,9.542252380910097e-05,0.0001422018766569542,0.0001689314841542
2023-06-10,0.00034525653109085397,0.0005194132612280281,0.0008801822112063918,0.0017143002445926447,0.002119058884340297,0.0031060552776716096,0.0047226156829310644
2023-06-11,2.115964889526367e-06,2.071970985049293e-05,5.7926014909204446e-05,0.00013727521001114675,0.00016464980980080945,0.0002541450312977584,0.0003605157136917114
2023-06-12,1.4067552456253907e-06,1.3892522943818233e-06,1.2602740195500201e-06,1.2771799308962804e-06,1.4209954682178985e-06,1.7359595470182956e-06,2.259101665913477e-06
2023-06-13,3.2782554626464844e-07,7.507346925281342e-07,1.5190749798180921e-06,3.3257271461336036e-06,4.079853815417136e-06,6.363060974989922e-06,9.989738464355468e-06
2023-06-14,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06
2023-06-15,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06
2023-06-16,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06
2023-06-17,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06
2023-06-18,0.00114402174949646,0.0012011641547793432,0.001477710762113895,0.001575285855960469,0.0015628504897317581,0.0012944021471030349,0.0009695768356323242
2023-06-19,0.0003279447555541992,0.0002929265536959209,0.00025782818501850343,0.00029311102369557256,0.0003491036533828705,0.00041496218099288675,0.0007923752069473268
2023-06-20,0.00048644743799286516,0.0005442469135264868,0.0006506523301153858,0.0008995932637897839,0.001070676303554812,0.0013906326117673945,0.001994164808979804
2023-06-21,0.001839625835316383,0.0020547101420938527,0.0026235573695617123,0.0035351136455341993,0.004000979782009866,0.004803675094855136,0.006417876481907569
2023-06-22,0.014324884753420974,0.01539966269906057,0.017526445626326635,0.020464331672093227,0.022033589212992047,0.024810305996508228,0.02893475506801906
2023-06-23,0.009483237442339032,0.010385653656449391,0.012008246235486136,0.014617776024059016,0.015820300228522082,0.01868071658941861,0.023115350183809367
2023-06-24,0.0009881198405423675,0.0011530645782189576,0.001492064179034995,0.0021404991978388552,0.002431034518987153,0.003144325554503416,0.004344394802967599
2023-06-25,1.2851288602178101e-06,1.571562292055104e-06,2.145881784651104e-06,3.1640298216602374e-06,3.3426307261892838e-06,4.3526999334580436e-06,4.807763366443396e-06
2023-06-26,4.366234747976705e-06,1.2788465665286662e-05,2.9702707241274352e-05,6.366225468283072e-05,7.276863324580431e-05,0.00010930885560912522,0.0001413645305319733
2023-06-27,0.00035334527492025813,0.0002893469163299959,0.00018134693491636281,0.00010726814684163159,8.057336052081886e-05,4.259889871975527e-05,6.39408826778265e-05
2023-06-28,8.583068797918258e-07,1.511119655903247e-06,2.7268562627033635e-06,5.0327523374011e-06,5.558211231256991e-06,8.041196865660341e-06,9.426474566254228e-06
2023-06-29,1.286852693738183e-06,1.286852693738183e-06,1.286852693738183e-06,1.286852693738183e-06,1.286852693738183e-06,1.286852693738183e-06,1.286852693738183e-06
