Yr,Mon,RIO LARQUI C
1971,1,163.20088987764183
1971,2,129.15550611790874
1971,3,103.97608453837596
1971,4,61.218576195773075
1971,5,32.62335928809789
1971,6,19.29321468298109
1971,7,26.47919911012236
1971,8,37.65161290322581
1971,9,62.068298109010016
1971,10,101.55083426028921
1971,11,131.47986651835373
1971,12,155.00367074527253
1972,1,178.58743047830924
1972,2,129.82825361512792
1972,3,100.81913236929921
1972,4,64.51134593993326
1972,5,33.222358175750834
1972,6,23.297441601779756
1972,7,24.58364849833148
1972,8,39.25773081201336
1972,9,54.70400444938821
1972,10,83.11646273637376
1972,11,118.60300333704116
1972,12,156.91401557285874
1973,1,174.57842046718582
1973,2,132.55494994438268
1973,3,104.61078976640714
1973,4,57.51924360400446
1973,5,33.67830923248053
1973,6,20.55050055617353
1973,7,21.75606229143493
1973,8,36.23592880978866
1973,9,62.26507230255842
1973,10,85.5948832035595
1973,11,121.31023359288099
1973,12,164.08709677419358
1974,1,172.03459399332596
1974,2,125.6698553948832
1974,3,105.66162402669634
1974,4,57.893437152391556
1974,5,39.45283648498332
1974,6,21.57842046718576
1974,7,22.176751946607347
1974,8,36.39710789766407
1974,9,63.522914349276974
1974,10,91.23159065628477
1974,11,125.53826473859846
1974,12,154.08375973303671
1975,1,171.82602892102338
1975,2,126.11991101223583
1975,3,97.33715239154617
1975,4,66.07319243604005
1975,5,30.51857619577308
1975,6,21.14872080088988
1975,7,24.02969966629589
1975,8,35.27052280311457
1975,9,59.81268075639599
1975,10,94.45973303670745
1975,11,121.44571746384871
1975,12,151.98954393770862
1976,1,167.71724137931037
1976,2,121.3941045606229
1976,3,100.53036707452725
1976,4,56.33959955506117
1976,5,31.566852057842045
1976,6,18.39110122358176
1976,7,23.708676307007785
1976,8,35.66195773081201
1976,9,59.106896551724134
1976,10,97.81635150166852
1976,11,122.69877641824252
1976,12,156.24082313681873
1977,1,172.09076751946606
1977,2,128.6212458286986
1977,3,106.56318131256951
1977,4,63.85328142380425
1977,5,33.08754171301447
1977,6,22.410901001112347
1977,7,24.31646273637375
1977,8,36.98075639599555
1977,9,64.27652947719689
1977,10,91.04438264738599
1977,11,118.51746384872081
1977,12,150.24060066740824
1978,1,163.12280311457175
1978,2,132.6783092324806
1978,3,102.41379310344828
1978,4,58.0
1978,5,29.711012235817577
1978,6,21.642157953281426
1978,7,32.314015572858736
1978,8,35.53826473859844
1978,9,60.19076751946608
1978,10,90.38854282536153
1978,11,118.83982202447163
1978,12,157.97664071190212
1979,1,168.80667408231372
1979,2,126.50478309232481
1979,3,102.76852057842044
1979,4,59.27575083426029
1979,5,30.600444938820914
1979,6,17.12447163515016
1979,7,23.128587319243607
1979,8,38.55528364849832
1979,9,54.570077864293665
1979,10,90.6233592880979
1979,11,111.12625139043382
1979,12,146.42714126807567
1980,1,179.97397107897666
1980,2,114.07597330367076
1980,3,106.37208008898777
1980,4,53.20767519466074
1980,5,35.64471635150167
1980,6,21.68209121245829
1980,7,24.990211345939933
1980,8,41.60467185761959
1980,9,65.13915461624028
1980,10,97.27107897664072
1980,11,119.02847608453835
1980,12,151.77630700778644
1981,1,154.99911012235816
1981,2,131.15261401557285
1981,3,101.96051167964407
1981,4,56.143270300333704
1981,5,37.801779755283654
