Nodes and Reaches,Afluente Embalse Paloma  0 \ Headflow,CL_02  0 \ Headflow,CL_10  0 \ Headflow,CL_Cogoti  0 \ Headflow,CL_Guatulame  0 \ Headflow,CL_Pama  0 \ Headflow,Quebrada Seca  0 \ Headflow,Rio Cogoti  0 \ Headflow,Rio Combarbala  0 \ Headflow,Rio Grande  0 \ Headflow,Rio Guatulame  0 \ Headflow,Rio Hurtado  0 \ Headflow,Rio Limari  0 \ Headflow,Rio Mostazal  0 \ Headflow,Rio Pama  0 \ Headflow,Rio Ponio  0 \ Headflow,Rio Rapel  0 \ Headflow,Rio Tascadero  0 \ Headflow,Río Turbio  0 \ Headflow
May-00,0,0.351275,0,0.262,0,0,0,0.507841,0.029947,1.54,0,1.20035,0,0.23,0.011,0,0.31,0.31,0
Jun-00,0,1.93298,0,2.28,2.98097,0,0,1.07452,0.0698795,1.54,0,3.25772,0,0.53,0.570999,0,2.15,0.45,0
Jul-00,0,0.795632,0,0,0.818765,0,0,2.50987,0.199711,2.19,0,3.66128,0,0.18,0.291,3.75078,3.19,0.9,0
Aug-00,0,0,0,1.60218,0.00611828,0,0,2.72986,0.459707,3.22,0,4.31963,0,0.509999,0.033,4.31071,1.96,1.36,0
Sep-00,0,1.43572,0,3.34001,1.16589,0,0,4.53984,0.849735,4.67998,0,0,0,3,0.043,5.12639,2.56,2.02,0
Oct-00,0,0,0,2.43361,0,0,0,6.72984,2.53973,12.09,0,1.77888,0,4.09999,1.241,10.0589,2.52,4.13997,0
Nov-00,0,0,0,2.9652,0,0,0,6.51986,3.33974,11.19,0,1.75581,0,3.51,0.930999,8.08187,2.42,4.42998,0
Dec-00,0,0,0,3.65581,0.855197,0,0,3.49986,1.96973,7.82997,0,1.90157,0,2.82,0.381,3.6079,2.55,3.3,0
Jan-01,0,0,0,3.06433,0,0,0,2.75986,0.399736,3.09,0,1.58694,0,1.44,0.0509999,0,1,1.12,0
Feb-01,0,0,0,0.171999,0,0,0,1.72987,0.059894,2.19,0,1.06784,0,0.779998,0.021,0,0.939997,0.28,0
Mar-01,0,0.176705,0,0.238,0,0,0,1.54323,0.019957,1.92,0,0.834173,0,1.17,0.021,0,1.23,0.6,0
Apr-01,0,0.123805,0,0.417998,0,0,0,0.527226,0.0199651,1.84,0,2.63831,0,1.06,0.021,0,1.4,0.5,0
May-01,0,0.35913,0,0.469,0,0,0,0.839984,0.0296933,1.79,0,3.10644,0,1.43,0.011,0,1.74,0.8,0
Jun-01,0,0.446948,0,0.441998,0,0,0,0.341845,0.0296581,1.56,0,1.96769,0,1.1,0.011,0,1.69,0.5,0
Jul-01,0,1.68124,0.519284,2.43206,1.28774,0,0,3.28987,0.276624,2.18,0,1.97713,0,3.43,1.711,0,2.47,0.669997,0
Aug-01,0,2.51146,0,2.65237,3.6873,0,0,2.17986,0.476401,2.45,0,3.29273,0,1.88,0.101,0,2.58,0.869997,0
Sep-01,0,3.59204,0,2.26049,0,0,0,2.67987,0.596836,3.78,0,2.43711,0,2.06,0.071,0.757099,2.3,1.17,0
Oct-01,0,2.5829,0,2.65898,0,0,0,4.12612,1.24967,9.06997,0,1.7862,0,2.84,0.470998,1.6579,2.03,2.02,0
Nov-01,0,2.2474,0,0,0,0,0,4.78993,1.68923,10.71,0,1.56185,0,2.89,0.231,1.9965,2.09,2.98,0
Dec-01,0,1.21549,0,0,0,0,0,2.49467,0.839614,5.28999,0,1.61123,0,1.61,0.031,1.34765,1.63,1.5,0
Jan-02,0,0,0,0,0,0,0,1.16669,0.138251,2.76,0,1.96514,0,0.709999,0.011,0.25247,1,0.689998,0
Feb-02,0,0.33053,0,0.0709999,0,0,0,0.820093,0.0493368,2.06,0,4.97255,0,0.27,0.011,0,0.779998,0.38,0
Mar-02,0,0.25421,0,0.0659999,0,0,0,0.927746,0.0395802,2.08,0,5.38359,0,0.28,0.011,0,0.739998,0.479999,0
Apr-02,0,1.20746,0,0.103,0.62461,0,0,1.42606,0.0693348,1.88,0,5.38364,0,1.08,0.011,0,2.29,0.55,0
May-02,0,5.00754,0,3.56728,2.39605,0,0,3.20987,0.486549,3.01,0,4.92593,0,2.47,1.821,0,7.28999,1.21,0
Jun-02,0,6.38673,0,2.71294,19.7075,0,0,5.52067,1.25686,6.45999,0,3.22345,0,6.23997,3.601,0,10.89,1.47,0
Jul-02,0,4.80249,0,1.24934,8.56646,0,0,4.78605,0.878047,6.14998,0,5.23171,0,5.90998,1.811,0,5.54999,1.71,0
Aug-02,0,8.04148,0,3.15893,4.36764,0,0,7.24543,1.43804,8.09999,0,8.94866,0,10.66,1.281,0,6.64998,2.5,0
Sep-02,0,7.9071,0,1.44164,11.2807,0,0,7.01913,1.8275,9.58997,0,9.30467,0,7.36998,0.810999,0.708399,5.7,2.83,0
Oct-02,0,9.91178,0,2.50317,2.6302,0,0,10.4411,3.75765,18.97,0,5.53405,0,9.76997,1.631,0,9.75997,5.08998,0
Nov-02,0,9.77569,0,4.8963,1.1475,0,0,10.1797,4.10758,28.19,0,3.73727,0,11.52,1.741,0.3755,14.09,7.05999,0
Dec-02,0,4.39587,0,0,0,0,0,10.0386,4.78827,21.59,0,3.05754,0,9.71998,0.770998,6.55697,12.49,7.06,0
Jan-03,0,0.501598,0,0,0,0,0,4.22156,1.44927,9.37997,0,2.54133,0,4.27998,0.301,1.2523,6.68,3.08,0
Feb-03,0,1.17181,0,0,0,0,0,1.90652,0.359706,5.76997,0,4.6565,0,2.92,0.111,0,3.6,1.13,0
Mar-03,0,1.0448,0,0.653999,0,0,0,0.879103,0.148399,4.32997,0,2.86383,0,2.26,0.0709999,0,2.89,0.939998,0
Apr-03,0,1.04371,0,0.510999,0.113605,0,0,0.956996,0.0590457,3.71,0,2.27108,0,1.46,0.071,0,2.57,0.74,0
May-03,0,0.533998,0,1.232,0.33533,0,0,1.19152,0.18727,3.7,0,1.70141,0,1.77,0.0909999,0,2.71,0.809999,0
Jun-03,0,0,0,1.45757,0,0,0,1.73987,0.236836,4.13997,0,2.38857,0,2.21,0.111,0,2.97,0.89,0
Jul-03,0,0,0,1.43014,0,0,0,1.65072,0.316836,4.43,0,4.3144,0,1.89,0.0709999,0.487698,2.29,0.85,0
Aug-03,0,0,0,1.043,0,0,0,1.22078,0.147577,3.66,0,3.87384,0,1.32,0.0609999,0,1.43,0.689998,0
Sep-03,0,0,0,0.412998,0,0,0,1.16228,0.137745,4.15,0,2.45571,0,1.2,0.081,0,1,0.72,0
Oct-03,0,0,0,0.802416,0,0,0,1.68987,0.246836,6.09999,0,2.20132,0,1.22,0.0709999,0,0.689998,1.02,0
Nov-03,0,0,0,0.37,0,0,0,1.19152,0.147577,5.11998,0,2.20784,0,1.24,0.041,0,0.4,0.75,0
Dec-03,0,0.548309,0,0.0709999,0,0,0,0.771452,0.0788255,2.64,0,2.0473,0,0.669997,0.031,0,0.2,0.25,0
Jan-04,0,0.617417,0,0.0399996,0,0,0,0.459025,0.0395289,2.12,0,1.75596,0,0.4,0.021,0,0.689998,0.16,0
Feb-04,0,0.82144,0,0.032,0,0,0,0.322286,0.0297065,1.82,0,1.22343,0,0.26,0.021,0,0.469999,0.17,0
Mar-04,0,0.829249,0,0.15,0,0,0,0.527228,0.0197957,1.56,0,1.11958,0,0.3,0.011,0,0.23,0.21,0
Apr-04,0,0.8537,0,0.245,0,0,0,0.62485,0.0694022,1.93,0,2.22356,0,0.54,0.031,0,1.69,0.31,0
May-04,0,0.72046,0,0.123,0,0,0,0.752058,0.0395589,2,0,1.66214,0,0.459999,0.0509999,0,1.51,0.34,0
Jun-04,0,0.55196,0,0.075,0,0,0,0.732506,0.0493627,1.72,0,1.09857,0,0.43,0.021,0,1.06,0.31,0
Jul-04,0,0.0818,0,0.541002,0,0,0,0.771452,0.0492533,1.76,0,0.621625,0,0.639998,0.0409999,0,1.5,0.32,0
Aug-04,0,0.822588,0,2.798,0.260358,0,0,1.12316,0.296253,2.21,0,0.728312,0,1.15,0.500997,0.17367,2.09,0.55,0
Sep-04,0,0.697739,0,1.59,0,0,0,1.15241,0.726836,3.26,0,0.39863,0,0.62,0.271,0,0.71,0.7,0
Oct-04,0,0.28201,0,0.884999,0,0,0,0.879103,0.616833,3.01,0,0.221668,0,0.32,0.141,0,0.33,0.689998,0
Nov-04,0,0.02504,0,0.774996,0,0,0,1.01584,0.416836,2.96,0,0.441157,0,0.32,0.071,0,0.04,0.79,0
Dec-04,0,0.1939,0,0.247,0,0,0,0.771452,0.177092,1.86,0,0.828995,0,0.2,0.0509999,0,0.04,0.579999,0
Jan-05,0,0.33341,0,0.0469997,0,0,0,0.78131,0.0295156,1.26,0,0.965935,0,0.11,0.031,0,0.02,0.26,0
Feb-05,0,0.479059,0,0.027,0,0,0,0.908354,0.00988621,0.929998,0,2.60357,0,0.08,0.031,0,0.07,0.18,0
Mar-05,0,0.20864,0,0.0629999,0,0,0,0.72264,0.00991755,1.37,0,1.38676,0,0.09,0.021,0,0.07,0.28,0
Apr-05,0,0.23809,0,0.091,0,0,0,0.693385,0.00991422,1.17,0,1.28869,0,0.13,0.021,0,0.17,0.25,0
May-05,0,0.29745,0,1.039,0,0,0,1.04509,0.0397176,1.94,0,3.32265,0,0.729999,0.0609999,0,1.44,0.439998,0
Jun-05,0,1.05626,0,1.94301,0,0,0,1.84987,0.218278,3.34,0,2.43575,0,1.07,0.051,0,1.45,1.03,0
Jul-05,0,1.16035,0,1.311,0,0,0,0.429772,0.167379,2.68,0,1.95916,0,0.689998,0.0509999,0,1.02,0.8,0
Aug-05,0,0.965647,0,1.44975,0,0,0,1.68987,0.266676,2.99,0,4.54794,0,0.619997,0.111,0,0.659999,0.95,0
Sep-05,0,3.31586,0,1.68159,0,0,0,3.11987,0.846836,5.77998,0,5.08611,0,2.1,0.241,0,2.1,1.88,0
Oct-05,0,3.5238,0,1.14266,0,0,0,3.71984,1.43683,9.96998,0,3.65662,0,2.15,0.510999,0,1.11,2.78,0
