,0,1,2,3,4,5,6
2023-03-29,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07
2023-04-02,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06
2023-04-03,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-04-04,0.000417172908782959,0.00045781711052204,0.0006224937002423783,0.0007437349311889164,0.0009090257679811821,0.000994654291888012,0.0008433196279737685
2023-04-05,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-04-06,6.198883056640625e-06,6.0563799978672765e-06,4.976568087725572e-06,3.7882063123914936e-06,4.627737581455213e-06,5.43689410947882e-06,4.821353488498264e-06
2023-04-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07
2023-04-08,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06
2023-04-09,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06
2023-04-10,1.4781950881115336e-06,1.463807760062301e-06,1.354788288365302e-06,1.2348094552786886e-06,1.319569823789929e-06,1.4012635117153898e-06,1.3391175836356222e-06
2023-04-11,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06
2023-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-13,2.1129846572875977e-05,2.3332477986127478e-05,3.233646423044339e-05,3.900438074081662e-05,4.767465151949412e-05,5.204584511411547e-05,4.3733252419365774e-05
2023-04-14,1.5676021121180383e-06,1.7361393835519015e-06,2.4137152297658808e-06,2.7451486359842384e-06,3.242575033041227e-06,3.606684930767179e-06,3.274612911102142e-06
2023-04-15,6.7502259071261506e-06,7.354493685193902e-06,1.0001407429011982e-05,1.289683663640423e-05,2.2289733619213473e-05,3.230220246273181e-05,4.9394037874763955e-05
2023-04-16,0.00032241940488120235,0.00035570483087853083,0.0004941840405851355,0.0006130109702706843,0.0008608065990883894,0.0010718164252845354,0.0012600302695204846
2023-04-17,3.1282490965622856e-05,3.4321642738308295e-05,4.7755409852156776e-05,6.454294711894754e-05,0.00012531183953240767,0.00019151269706231005,0.0003094358442328687
2023-04-18,1.7169455190924054e-06,1.7169455190924054e-06,1.7182047721510402e-06,1.7278257320275959e-06,1.8025070253022403e-06,1.8992248397427274e-06,2.1109984484408214e-06
2023-04-19,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06
2023-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-21,0.00010216236114501953,0.00011176213450815484,0.0001525692117046302,0.0001911729101150755,0.00028117365002082787,0.00036479052515124956,0.0004705952273474799
2023-04-22,0.001296401023864746,0.001423574042046207,0.0019514063294504725,0.002355948327079652,0.002848173616119244,0.003096610208682443,0.0026679635047912598
2023-04-23,0.0028254568575789563,0.003090706433270618,0.004221488934065355,0.005126048671718491,0.006183623745591819,0.006773254859384765,0.006227261159052785
2023-04-24,2.4765728880993265e-06,2.6738848156316537e-06,3.964065563611936e-06,4.701103380609441e-06,3.724768312157247e-06,3.1204416671265114e-06,3.723303374651247e-06
2023-04-25,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06
2023-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-28,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-04-29,6.479620878963033e-05,6.763873374564292e-05,9.083661760240842e-05,0.0001239021377177634,0.00010969546753506113,9.297752246592582e-05,0.00011477470343379538
2023-04-30,0.0002548754214899418,0.00027902694950858627,0.00038021832281382443,0.00045975621727151634,0.0005898480316119896,0.0006859375491545775,0.0007117781373848528
2023-05-01,6.046079363386525e-06,6.624998039653249e-06,9.001651229757787e-06,1.0582655104624591e-05,1.2845541018190246e-05,1.4335233945235885e-05,1.3493348591156166e-05
2023-05-02,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07
2023-05-03,1.0102987289428711e-05,1.1054948828686242e-05,1.5145351349467962e-05,1.995206352264162e-05,3.780713004450644e-05,5.716803263984249e-05,9.076131714714899e-05
2023-05-04,3.554821013906917e-05,3.809373953749404e-05,5.0936282515589036e-05,6.497421907502779e-05,8.060602547987597e-05,9.428923113696253e-05,0.00011885232395098594
2023-05-05,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06
2023-05-06,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07
2023-05-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07
2023-05-08,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07
2023-05-09,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07
2023-05-10,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-05-11,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07
2023-05-12,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06
2023-05-13,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07
2023-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-15,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06
2023-05-16,7.17163085255379e-05,7.855097445978267e-05,0.00010640894016644227,0.00012808148816265968,0.00016750921295306188,0.00019681942812539667,0.00020347568717069307
2023-05-17,0.013247466087250359,0.01372807478073496,0.015741698422811114,0.01745359462395913,0.01961900058970168,0.02084194655425143,0.019914282030438497
2023-05-18,5.960464477539063e-08,7.467708368411009e-08,1.4922148744824904e-07,2.776819562155103e-07,1.0080601213165142e-06,1.8786354318409663e-06,3.649128807915582e-06
2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,5.862116813659668e-05,6.359644319819306e-05,8.64175004018864e-05,0.00010850174086434502,0.00013846529793629447,0.00016301266378738555,0.0001912481255001492
2023-05-22,0.00026523470878103694,0.00028947461610055524,0.0003985522498497453,0.0005036651142010073,0.0006762642190153949,0.000826334121610414,0.0010115775797052448
2023-05-23,0.0006200850009463466,0.0006647812908638648,0.0009020329150900297,0.001153091140164208,0.0012041770779686707,0.001180318611755394,0.0011505067348025477
2023-05-24,9.154186005844167e-05,9.956450822303733e-05,0.0001371899933094707,0.0001745467680146407,0.00022257305794475484,0.0002622687708365,0.0003131453065950356
2023-05-25,0.0008333504198958508,0.0009155102843872805,0.001256272343580253,0.001531584064063433,0.001984817599818315,0.0023100488109611,0.002367727955080075
2023-05-26,0.0009127140044142834,0.0009899712155952223,0.0013453568370225737,0.001692281024694304,0.002180392731067633,0.0025879118528641934,0.0030837171606524156
2023-05-27,3.844499474325858e-06,4.082918053427419e-06,5.215406304159841e-06,6.534513859367595e-06,1.0793041410013647e-05,1.564552606258837e-05,2.519455209595536e-05
2023-05-28,0.00014169164995792016,0.0001505432822624954,0.0002035524564633652,0.00026358811557732526,0.00026357120012706064,0.000253426992306849,0.0002770802891960658
2023-05-29,0.0003579556941986084,0.0003823360492443216,0.0004915970731788956,0.0005956973348345075,0.0007372310359357139,0.0008458800094072208,0.0009421739313337537
2023-05-30,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07
2023-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07
2023-06-02,1.696999959222012e-06,1.696999959222012e-06,1.696999959222012e-06,1.696999959222012e-06,1.696999959222012e-06,1.696999959222012e-06,1.696999959222012e-06
2023-06-03,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-06-04,1.2814998058274796e-06,1.2814998058274796e-06,1.2814998058274796e-06,1.2814998058274796e-06,1.2814998058274796e-06,1.2814998058274796e-06,1.2814998058274796e-06
2023-06-05,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-06-06,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07
2023-06-07,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06
2023-06-08,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-06-09,2.5749205860847724e-06,2.5749205860847724e-06,2.609864858461894e-06,2.8768464950363046e-06,4.658336395399694e-06,6.855167751599949e-06,1.157687763174585e-05
2023-06-10,0.0008149709342433198,0.000871766281939383,0.001142168428044974,0.001426020367792565,0.0018128273309272191,0.0021492382344720593,0.0026499959533591915
2023-06-11,0.0002734661102294922,0.0003016484879899299,0.00042071928020933973,0.000529489346912929,0.0007776305560142763,0.0010046691098482504,0.0012748854027854071
2023-06-12,2.0837869442402734e-05,2.2851410258435756e-05,3.1993802164360086e-05,4.435899759733903e-05,9.22023458265085e-05,0.00014570158035278163,0.000245312273035678
2023-06-13,8.940696716308594e-08,1.202369558400121e-07,2.803936810560629e-07,4.645377870589968e-07,9.656227129395655e-07,1.5493247200088248e-06,2.791484196980794e-06
2023-06-14,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06
2023-06-15,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06
2023-06-16,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06
2023-06-17,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06
2023-06-18,0.00031819939613342285,0.00033876916457866796,0.0004419738977727755,0.0005469523252002776,0.0005901292447120913,0.0005974972564912714,0.0005811717775132921
2023-06-19,0.00017142295837402344,0.00018489874642470784,0.00023878837974978165,0.0002780700959856548,0.00033432272722094835,0.00036319129886817295,0.000308656030231052
2023-06-20,0.0011598607146652284,0.0012413889069442109,0.001617524066046557,0.001982950715423324,0.0024536483357985666,0.0028292732491635255,0.0032502717684287238
2023-06-21,0.0016973793505599133,0.0018052877364834526,0.0023354074064091228,0.00287981534750864,0.003394318093799636,0.0037855289702168524,0.004342097043888771
2023-06-22,0.0100257209350616,0.010567663150575507,0.013443359131133707,0.016430635370001695,0.017769275390954978,0.018480970295295048,0.02016874764461818
2023-06-23,0.0024863375991230896,0.0026629304040428035,0.0036823944133839753,0.004791401299042169,0.00489194700246084,0.00479575609601856,0.005232552068396974
