Yr,Mon,EST. PALPAL A
1971,1,162.6304980414102
1971,2,128.470565193061
1971,3,103.77660884163402
1971,4,60.610744264129835
1971,5,31.25165081141577
1971,6,19.42193620593173
1971,7,26.986513710128715
1971,8,37.14717403469502
1971,9,61.88690542809178
1971,10,103.21275881365416
1971,11,132.5606043648573
1971,12,156.4593172915501
1972,1,177.5254616675994
1972,2,131.1915500839396
1972,3,100.92367095691105
1972,4,64.80207050923336
1972,5,32.035254616676006
1972,6,23.94655847789592
1972,7,25.178455512031338
1972,8,39.95629546726357
1972,9,55.53335198656968
1972,10,83.14980414101848
1972,11,118.74090654728593
1972,12,157.29994404029102
1973,1,173.9623391158366
1973,2,131.32803581421382
1973,3,105.11527700055962
1973,4,56.73782876329043
1973,5,32.410352546166756
1973,6,20.501398992725242
1973,7,21.86519306099608
1973,8,35.64918858421936
1973,9,62.52630106323448
1973,10,86.69876888640181
1973,11,121.08265249020707
1973,12,165.33402350307787
1974,1,170.60671516508114
1974,2,125.03665360940123
1974,3,105.49826524902072
1974,4,57.324454392837154
1974,5,38.295858981533286
1974,6,21.586513710128706
1974,7,22.70207050923336
1974,8,35.58164521544489
1974,9,63.829043088975936
1974,10,92.38477895914943
1974,11,126.80128707330721
1974,12,155.65517627308338
1975,1,170.46698377168437
1975,2,126.62708449916062
1975,3,96.56105204252935
1975,4,65.46799104644657
1975,5,29.176944599888085
1975,6,21.959093452714043
1975,7,24.42853945159485
1975,8,35.22865137101288
1975,9,60.45831001678792
1975,10,94.76530498041409
1975,11,120.71617235590378
1975,12,152.78438724118632
1976,1,164.69210968102968
1976,2,121.07011751538894
1976,3,99.5399552322328
1976,4,54.188248461107996
1976,5,30.38578623391159
1976,6,18.78242865137101
1976,7,24.19300503637382
1976,8,34.97437045327364
1976,9,59.030498041410205
1976,10,98.12915500839397
1976,11,123.22624510352549
1976,12,158.51662003357586
1977,1,169.9889759373251
1977,2,128.4715724678232
1977,3,107.08886401790713
1977,4,63.56038052602127
1977,5,31.61606043648574
1977,6,22.860268606603245
1977,7,24.49501958589816
1977,8,37.03525461667599
1977,9,64.2640738668159
1977,10,92.70861779518748
1977,11,119.3404588696139
1977,12,151.39748181309452
1978,1,161.27459429210967
1978,2,133.53861219921654
1978,3,101.65797425853384
1978,4,56.60218242865136
1978,5,28.45097929490767
