Yr,Mon,EST. PALPAL C
1989,1,26.97939701681081
1989,2,13.690612529155505
1989,3,27.608882094448703
1989,4,7.799538305884644
1989,5,72.84483726433582
1989,6,471.7988981034318
1989,7,270.2743024604801
1989,8,304.6453745534095
1989,9,51.87970011889568
1989,10,67.08263586078655
1989,11,27.46022140364703
1989,12,93.71526643248998
1990,1,19.49875228517611
1990,2,38.04870596486565
1990,3,140.73613941390676
1990,4,149.96591371405123
1990,5,181.05320050122407
1990,6,154.0289086241907
1990,7,150.4246966707182
1990,8,208.94542043182807
1990,9,276.4763407601766
1990,10,63.75317807176978
1990,11,64.03648674057392
1990,12,20.584523428479205
1991,1,35.18708247894018
1991,2,9.793019042403293
1991,3,14.15098707442174
1991,4,240.0100961659672
1991,5,655.7346288744508
1991,6,234.53646936609596
1991,7,340.8840909564842
1991,8,88.33131548053775
1991,9,179.122177981308
1991,10,123.40195559866682
1991,11,54.47860134025373
1991,12,143.61779819116393
1992,1,10.16067794776031
1992,2,31.437314537747014
1992,3,82.11217865140486
1992,4,206.5154127405113
1992,5,815.9697528874241
1992,6,408.2522695954593
1992,7,153.85712565437788
1992,8,169.31361742436758
1992,9,111.40109916397493
1992,10,110.510748305892
1992,11,37.51420164741047
1992,12,91.62413132659994
1993,1,24.70643622103942
1993,2,1.9476216044801165
1993,3,40.914146300223486
1993,4,151.07470557835822
1993,5,412.22334706964347
1993,6,606.8868538843209
1993,7,244.15957818857373
1993,8,281.6976260123442
1993,9,87.55826861311681
1993,10,123.97562937840469
1993,11,52.63107704569202
1993,12,66.29352455845897
1994,1,3.305112776072933
1994,2,43.77423055849817
1994,3,20.387305238220527
1994,4,274.46051399428285
1994,5,157.3845808920103
1994,6,408.6119475509283
1994,7,473.6026450329108
1994,8,56.08124250423807
1994,9,282.67356818473286
1994,10,114.72387225272465
1994,11,32.43843477210724
1994,12,81.88739218288988
1995,1,3.3731292590266038
1995,2,4.957152110368488
1995,3,29.15124257567259
1995,4,215.93838827136156
