Yr,Mon,EST. PALPAL C
1971,1,155.52929120409908
1971,2,124.16541417591803
1971,3,102.07361229718192
1971,4,62.63877028181042
1971,5,35.956276686592666
1971,6,19.696498719043554
1971,7,27.959521776259606
1971,8,37.3131511528608
1971,9,61.37455166524339
1971,10,101.05200683176773
1971,11,126.74406490179337
1971,12,150.35234842015373
1972,1,170.6794192997438
1972,2,124.70862510674635
1972,3,99.04500426985484
1972,4,66.01229718189585
1972,5,37.0067463706234
1972,6,24.621093082835188
1972,7,25.82152006831768
1972,8,39.163535439795055
1972,9,54.61793339026474
1972,10,83.62536293766014
1972,11,116.97813834329632
1972,12,153.95772843723313
1973,1,166.50666097352692
1973,2,128.07139197267296
1973,3,102.48975234842015
1973,4,59.3874466268147
1973,5,36.803415883859955
1973,6,22.127668659265584
1973,7,21.121093082835188
1973,8,35.987873612297186
1973,9,61.03740392826644
1973,10,86.03168232280103
1973,11,119.18684884713922
1973,12,160.2194705380017
1974,1,164.0941076003416
1974,2,121.33236549957302
1974,3,103.80375747224596
1974,4,60.0140051238258
1974,5,42.429376601195564
1974,6,23.326558497011103
1974,7,23.09180187873612
1974,8,35.87719897523484
1974,9,62.87549103330488
1974,10,91.45815542271565
1974,11,122.2749786507259
1974,12,150.401537147737
1975,1,164.76421861656706
1975,2,121.58428693424422
1975,3,96.29299743808708
1975,4,67.0612297181896
1975,5,33.22399658411614
1975,6,22.404867634500427
1975,7,25.07745516652434
1975,8,34.296327924850566
1975,9,58.96900085397097
1975,10,93.56524338172503
1975,11,118.08454312553374
1975,12,148.4149444918873
1976,1,161.57002561912898
1976,2,116.68232280102472
1976,3,99.41417591801881
1976,4,59.423569598633655
1976,5,34.35405636208369
1976,6,19.22852263023057
1976,7,24.71280956447481
1976,8,35.94910333048676
1976,9,58.94790777113579
1976,10,97.49812126387705
1976,11,119.6542271562767
1976,12,151.4147736976943
1977,1,164.7612297181896
1977,2,124.21050384286934
1977,3,104.1031596925705
1977,4,64.60239111870196
1977,5,35.91904355251922
1977,6,23.804526046114432
1977,7,25.466097352690014
1977,8,37.32903501280957
1977,9,63.386336464560216
1977,10,91.28403074295477
1977,11,115.09222886421863
1977,12,146.8092228864219
1978,1,156.8285226302306
1978,2,127.68915456874468
1978,3,100.84415029888984
1978,4,60.07873612297182
1978,5,32.59308283518361
1978,6,23.21041844577284
1978,7,33.901280956447486
1978,8,35.02920580700257
1978,9,59.658838599487616
1978,10,90.18326216908625
1978,11,115.7194705380017
1978,12,155.06097352690009
1979,1,163.21870196413323
1979,2,122.59026473099912
1979,3,102.52040990606315
1979,4,61.687617421007694
1979,5,33.80273270708796
1979,6,17.357045260461145
1979,7,24.16353543979505
1979,8,39.16396242527754
1979,9,54.394705380017086
1979,10,90.31383432963281
1979,11,110.02211784799316
1979,12,143.9072587532024
1980,1,172.9748078565329
1980,2,111.72510674637063
1980,3,104.10409906063197
1980,4,55.267122117848004
1980,5,38.63783091374893
1980,6,22.673185311699406
1980,7,26.262510674637067
1980,8,41.951494449188736
1980,9,64.27036720751495
1980,10,96.58582408198124
1980,11,115.99709649871905
1980,12,148.44329632792488
1981,1,148.66754910333051
1981,2,126.28189581554227
1981,3,101.60836891545688
1981,4,57.678992314261315
1981,5,41.1468830059778
1981,6,21.85602049530316
1981,7,28.996157130657565
1981,8,38.39658411614005
1981,9,62.842442356959864
1981,10,96.25892399658413
1981,11,120.29308283518363
1981,12,155.21767719897525
1982,1,167.2106746370623
1982,2,119.39974380871054
1982,3,101.41870196413322
1982,4,59.94415029888985
1982,5,35.85405636208369
1982,6,21.39871904355252
1982,7,28.497438087105042
