,0,1,2,3,4,5,6
2023-03-29,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07,8.598762555322992e-07
2023-04-02,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06,3.4217900974908844e-06
2023-04-03,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-05,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07,8.573618401896965e-07
2023-04-08,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06,2.143951348898554e-06
2023-04-09,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06,1.2814997489840607e-06
2023-04-10,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-04-11,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06,2.9921520763309672e-06
2023-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-14,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07
2023-04-15,1.5199183280856232e-06,1.5199183280856232e-06,1.5109776313693147e-06,1.6713005793049391e-06,1.7678275277094581e-06,1.8272547777087311e-06,1.5795229728610136e-06
2023-04-16,9.417532851330179e-07,9.417532851330179e-07,9.367862314017354e-07,1.2810933650474576e-06,1.3227972642328365e-06,1.3667750419120817e-06,1.0132788588634866e-06
2023-04-17,1.4056627719583048e-06,1.4056627719583048e-06,2.0821754901589885e-06,2.2960071532907027e-06,2.3127709596337813e-06,2.278961127985619e-06,1.9897882907571328e-06
2023-04-18,1.7169455190924054e-06,1.7169455190924054e-06,1.7169455190924054e-06,1.7169455190924054e-06,1.7169455190924054e-06,1.7169455190924054e-06,1.7169455190924054e-06
2023-04-19,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06,2.5781586714401783e-06
2023-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-21,9.363889694213867e-05,9.363889694213867e-05,1.1174877484639485e-05,1.5554441647096116e-05,1.9896243299756732e-05,3.812428225170481e-05,3.4642219543457034e-05
2023-04-22,0.0005503594875335693,0.0005503594875335693,0.00013132890065511066,0.0003212426196445119,0.0004838940997918448,0.0005742970741156375,0.0006964921951293946
2023-04-23,0.005114126205342018,0.005114126205342018,0.0011814042924811474,0.002518856152789795,0.0037506798015150312,0.004510353166846347,0.005770891904728615
2023-04-24,2.916455258628048e-05,2.916455258628048e-05,3.423740456203935e-05,3.209754137081043e-05,2.548290140274341e-05,2.1490906121788136e-05,1.8435716526710166e-05
2023-04-25,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06,1.2830369655603135e-06
2023-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-28,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-04-29,0.0005354195827749209,0.0005354195827749209,0.00014310677791703103,0.00023792230215555972,0.0003050838192523641,0.00039670896294961546,0.0003867715591695742
2023-04-30,0.0008465856313364384,0.0008465856313364384,0.00015450616674191528,0.00017466094680106505,0.0002186569961422503,0.00035529598364526083,0.00041729807850288125
2023-05-01,1.0392892022537126e-06,1.0392892022537126e-06,1.0695882300145361e-06,1.1022804745731596e-06,1.1870590507593686e-06,1.2107089997753615e-06,1.0899531503127947e-06
2023-05-02,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07,4.351138613856165e-07
2023-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-04,8.18014144847723e-05,8.18014144847723e-05,3.060251473883113e-05,6.452893668457644e-05,9.168425485703951e-05,0.00010362958365723267,0.00012045204638937433
2023-05-05,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06,2.5657316200522473e-06
2023-05-06,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07
2023-05-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07,8.583068833445395e-07
2023-05-08,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07
2023-05-09,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07,8.587039239671412e-07
2023-05-10,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-05-11,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07
2023-05-12,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06
2023-05-13,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07
2023-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-15,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06,1.7195939676639682e-06
2023-05-16,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06
2023-05-17,0.009086644649414666,0.009086644649414666,0.00488309661538248,0.00513842214228465,0.005614350877966076,0.00700760032182326,0.005883139371780999
2023-05-18,5.960464477539063e-08,5.960464477539063e-08,0.0,0.0,0.0,4.967053731282552e-09,0.0
2023-05-19,9.775161743164062e-06,9.775161743164062e-06,0.0,2.3706392808394004e-08,4.03218326114473e-07,2.3241295959010264e-06,2.562999725341797e-06
2023-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-21,0.00044783949851989746,0.00044783949851989746,3.4310420354207356e-05,0.00012592327865687287,0.00022163330799057372,0.000307149507782676,0.00040016174316406247
2023-05-22,0.0009039282798717352,0.0009039282798717352,0.00010450979073344987,0.0002058396962506234,0.0003050894609469676,0.00047763326402369097,0.000522577762598786
2023-05-23,0.0033449560403369105,0.0033449560403369105,0.0007193023959340887,0.001782471076963206,0.0027115053718543575,0.003277113311173018,0.003981482982590023
2023-05-24,0.0007327090239073186,0.0007327090239073186,5.665625488215179e-05,0.00013829120533934906,0.0002283368259500527,0.00037112421963249944,0.00043725476022018486
2023-05-25,0.0002979218958785168,0.0002979218958785168,4.752874364157833e-05,8.40815968465656e-05,0.00011503586446657383,0.00017012976325524892,0.00017442107190390743
2023-05-26,0.0022846192120482556,0.0022846192120482556,0.000501999258892738,0.0008409478107968097,0.001109079998771211,0.0015066127658673338,0.0015451699494292372
2023-05-27,3.769993770674773e-05,3.769993770674773e-05,2.577404067475679e-06,3.133646352828444e-06,4.6476543231966345e-06,1.1978896616187049e-05,1.2230872994223318e-05
2023-05-28,0.0003734643111670266,0.0003734643111670266,0.0003121142437104633,0.00036203410454308226,0.0003458985821166174,0.00036388060676768646,0.00024998136858584986
2023-05-29,0.0011617839336395264,0.0011617839336395264,0.00016305247942606608,0.0002514784308997068,0.0003298776490347726,0.0005513491729895273,0.000526505708694458
2023-05-30,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07,8.612870487922919e-07
2023-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07,8.583068797918258e-07
2023-06-02,1.696999959222012e-06,1.696999959222012e-06,1.696999959222012e-06,1.696999959222012e-06,1.696999959222012e-06,1.696999959222012e-06,1.696999959222012e-06
2023-06-03,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-06-04,4.023313465495448e-06,4.023313465495448e-06,1.2814998058274796e-06,1.2882730609155923e-06,1.3916619617962818e-06,1.9024944098226004e-06,1.9192695049241594e-06
2023-06-05,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-06-06,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07,8.608316655056569e-07
2023-06-07,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06,1.716613667213096e-06
2023-06-08,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2023-06-09,1.9323825767969538e-05,1.9323825767969538e-05,2.5749205860847724e-06,2.61386680284142e-06,3.2874267043596434e-06,6.7403031338968e-06,7.203221252893855e-06
2023-06-10,0.003994714820237277,0.003994714820237277,0.0005093068916115347,0.0007842899513393193,0.0010431185332024705,0.001811536549832288,0.0017460014460993988
2023-06-11,0.0001936107873916626,0.0001936107873916626,1.1092424392700195e-05,1.737306063825434e-05,2.6519632055645904e-05,6.584557845736994e-05,6.482601165771484e-05
2023-06-12,3.045882976948633e-06,3.045882976948633e-06,2.914752758442773e-06,3.5843567564535825e-06,3.594032835150886e-06,3.679746765611167e-06,2.479638851582422e-06
2023-06-13,7.361173629760742e-06,7.361173629760742e-06,1.3609727223714195e-07,3.457746722481468e-07,6.960971014840262e-07,2.145315661574855e-06,2.181529998779297e-06
2023-06-14,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06,1.7203188917847e-06
2023-06-15,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06,1.2854092688030505e-06
2023-06-16,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06,2.1413227386801736e-06
2023-06-17,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06,1.7041156752384268e-06
2023-06-18,0.0009567737579345703,0.0009567737579345703,0.0002923101186752319,0.0007599778473377228,0.0011567615327380952,0.001300387761809609,0.001621842384338379
2023-06-19,0.0010305345058441162,0.0010305345058441162,1.8162031968434654e-05,4.893101074478843e-05,0.0001274065247603825,0.0003403169526295228,0.0004157751798629761
2023-06-20,0.0022323866927536073,0.0022323866927536073,0.0007166356090616924,0.0009782988707498093,0.001134888142452101,0.0014881095893728837,0.001337542160740668
2023-06-21,0.006317812204258644,0.006317812204258644,0.0015575855969359508,0.0023640610276629563,0.0030048746437230313,0.004050541149745117,0.004143548011677467
2023-06-22,0.029786210398867752,0.029786210398867752,0.015501755616063899,0.01991836868235065,0.022102475235428867,0.02509164319579757,0.02418280456562343
2023-06-23,0.02184419768747148,0.02184419768747148,0.005852012214029401,0.008603077666019875,0.010702330709745769,0.013997105093310298,0.014841486391389935
2023-06-24,0.0037648022174039397,0.0037648022174039397,0.0003870387871264332,0.0007166537032090179,0.001073705280740948,0.0017891905749493299,0.001992273330608896
