,0,1,2,3,4,5,6
2000-01-01,,,,,,,
2000-01-02,,,,,,,
2000-01-03,,,,,,,
2000-01-04,,,,,,,
2000-01-05,,,,,,,
2000-01-06,,,,,,,
2000-01-07,,,,,,,
2000-01-08,,,,,,,
2000-01-09,,,,,,,
2000-01-10,,,,,,,
2000-01-11,,,,,,,
2000-01-12,,,,,,,
2000-01-13,,,,,,,
2000-01-14,,,,,,,
2000-01-15,,,,,,,
2000-01-16,,,,,,,
2000-01-17,,,,,,,
2000-01-18,,,,,,,
2000-01-19,,,,,,,
2000-01-20,,,,,,,
2000-01-21,,,,,,,
2000-01-22,,,,,,,
2000-01-23,,,,,,,
2000-01-24,,,,,,,
2000-01-25,,,,,,,
2000-01-26,,,,,,,
2000-01-27,,,,,,,
2000-01-28,,,,,,,
2000-01-29,,,,,,,
2000-01-30,,,,,,,
2000-01-31,,,,,,,
2000-02-01,,,,,,,
2000-02-02,,,,,,,
2000-02-03,,,,,,,
2000-02-04,,,,,,,
2000-02-05,,,,,,,
2000-02-06,,,,,,,
2000-02-07,,,,,,,
2000-02-08,,,,,,,
2000-02-09,,,,,,,
2000-02-10,,,,,,,
2000-02-11,,,,,,,
2000-02-12,,,,,,,
2000-02-13,,,,,,,
2000-02-14,,,,,,,
2000-02-15,,,,,,,
2000-02-16,,,,,,,
2000-02-17,,,,,,,
2000-02-18,,,,,,,
2000-02-19,,,,,,,
2000-02-20,,,,,,,
2000-02-21,,,,,,,
2000-02-22,,,,,,,
2000-02-23,,,,,,,
2000-02-24,0,0,0,0,0,0,0
2000-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,0.0,0.0,,,,,0.0
2000-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-09,0.0,0.0,0.0,0.0,0.0,0.0018148489383635017,0.0
2000-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-15,,0.0,,,,,
2000-03-16,,0.0,,,,,
2000-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-03,0.0,0.0,0.0,0.0,0.0024392988430471533,0.0,0.0
2000-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-13,,0.0,,,,,
2000-04-14,0.018675591206840956,0.0,0.0,0.018236790347375433,0.023067314143412176,0.09786608030091105,0.10436113864990793
2000-04-15,0.0,0.0,0.0,0.0,0.0005347649260164498,0.007517101751647368,0.0
2000-04-16,0.0,0.0,0.0,0.0,0.0007895548978136665,0.04735272671910319,0.025367204007748587
2000-04-17,0.409924159595221,0.4550722113677434,0.0,0.0,0.0002959011826895381,0.17155605401352633,0.6566059365780813
2000-04-18,0.32978635606972223,0.33434601766722544,0.0,0.0,0.0,0.23768670455699187,0.735019843854247
2000-04-19,0.09699105268724877,0.0607405390058245,0.0,0.0,0.0,0.1259075293028261,0.6637992838351552
2000-04-20,0.051709291334887796,0.06065581951822553,0.0,0.0,0.0,0.09253818200574851,0.6114520333329977
2000-04-21,0.0,0.0,0.0,0.0,0.0,0.08552358027318797,0.5854372155662843
2000-04-22,0.0,0.0,0.0,0.0,0.0,0.03668240247921181,0.4522992593573037
2000-04-23,0.0,0.0,0.0,0.0,0.0,0.03549703262987014,0.4363916665403386
2000-04-24,0.0,0.0,0.0,0.0,0.0,0.006191586922441459,0.050650354022833716
2000-04-25,,0.0,,,,,
2000-04-26,,0.0,,,,,
2000-04-27,,0.0,,,,,
2000-04-28,,0.0,,,,,
2000-04-29,0.0,0.0,0.0,0.0,0.0,0.00037495312998882664,0.027473251209171982
2000-04-30,0.0,0.0,0.0,0.0,0.0,0.000139404663648218,0.07386951288043823
2000-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,0.0,0.0,0.0,0.0,0.0,0.00041197431097625447,0.0578003140041348
2000-05-03,0.08143147201112222,0.06353484732764107,0.0082222109732515,0.06767132975116878,0.04460913270030776,0.026176283902048788,0.05472196651747708
2000-05-04,0.5238302656133056,0.5317263049738747,0.0,0.01952308882689611,0.07340878414919957,0.20037320793484154,0.16684750454375266
2000-05-05,0.2814265678716125,0.26833348189081463,0.0,0.0,0.0,0.05831652695255714,0.0
2000-05-06,0.059513159106322974,0.12683865853718349,0.0,0.0,0.0,0.00503421333654836,0.0
2000-05-07,0.05573093181372656,0.0639521096433912,0.0,0.0,0.0,0.002811374366615713,0.0
2000-05-08,0.0,0.0,0.0,0.0,0.0,0.0031582253452263876,0.0
2000-05-09,0.3312873128947773,0.3340503062520709,0.0,0.09482823452645733,0.1007894930094948,0.12116457982912521,0.057091492110834814
2000-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-15,0.66890719795098,0.6733995846339635,0.11992025907190691,0.6203289640786216,0.6814294891417946,0.6811268686487899,0.6869700933303092
2000-05-16,0.8025766235243161,0.8099819677216665,0.0,0.2754468310700695,0.6962786534094696,0.7548891234733064,0.7759328888393545
2000-05-17,0.7821810199540102,0.7778220943042211,0.0,0.00716558541155569,0.3346818759244431,0.7207828766923152,0.7626067735210889
2000-05-18,0.8040911006024143,0.8161075455801827,0.0,0.0006653767272822563,0.16551927649880238,0.7068101037035295,0.8022158844275806
2000-05-19,0.45510165060647284,0.45986764771597727,0.0,0.021809930909123167,0.14133427067522,0.22707714497470954,0.3273210601071588
2000-05-20,0.7514935783507536,0.7556048461369106,0.0,0.0,0.03176999177384046,0.5641851128309544,0.7930984996934946
2000-05-21,0.5350561231495722,0.5189127368586405,0.0,0.0,0.019727285245471862,0.4612324796206596,0.7589205428694668
2000-05-22,0.6955647056415695,0.6871929168701173,0.0,0.0,0.01418767168701607,0.4677117129064987,0.7120093180412961
2000-05-23,0.72371051687349,0.7164380465235028,0.0,0.0,0.009050456058454531,0.44011329041250613,0.6924241362457701
2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0016245018810236197,0.0
2000-05-25,0.3832962480304366,0.36836296319961553,0.0,0.0,0.12364551898615618,0.4114140807232673,0.5081395016033182
2000-05-26,0.0,0.0,0.0,0.0,0.02610294608969058,0.06352576804972898,0.033972199097960246
2000-05-27,0.5472528743324486,0.5401798997606551,0.0,0.0,0.007421491561601068,0.33681902856292556,0.6066481444910082
2000-05-28,0.5716121165694339,0.5328941600663322,0.0,0.0,0.0020602454772005066,0.2718013227229926,0.545012175115385
2000-05-29,0.5496834544754802,0.5991595813206265,0.0,0.0,0.00011885431147761349,0.27966707845111416,0.5132744736504358
2000-05-30,0.49071301356542735,0.4496132816587175,0.0,0.0,0.002421043058116548,0.2447345595924159,0.458208057946044
2000-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-01,0.3831506668311494,0.4510853375707354,0.0,0.0,0.0011079613479396122,0.2726060320397882,0.4581864233116661
2000-06-02,0.47726909298051506,0.4962101152965001,0.0,0.0,0.004858879051563758,0.2083785477526213,0.4095573591943764
2000-06-03,0.40553044643711816,0.34795235736029484,0.0,0.0,0.0004686304183725871,0.22672546832805265,0.3803524890973795
2000-06-04,0.35265988643824325,0.35451374309403555,0.0,0.0,0.0,0.10462796069590607,0.3175880847272802
2000-06-05,0.13944071047360906,0.1658856442996434,0.0,0.0,1.4788644540721132e-05,0.17064272807150652,0.37383181482413075
2000-06-06,0.1464201371224549,0.1779561425958361,0.0,0.0,5.269287929192341e-05,0.11190295935298958,0.32170244520453317
2000-06-07,0.25948834165184675,0.2033584203038897,0.0,0.0,0.0006546344564524734,0.14312584425659242,0.27365758981735605
2000-06-08,0.20229661787314407,0.18775678532464166,0.0,0.0,5.170484153555791e-05,0.13049251645088433,0.22940102508302582
2000-06-09,0.060231439436562804,0.0,0.0,0.0,0.0012097319195640529,0.05526126403364144,0.19065674077565875
2000-06-10,0.07409277667212066,0.059077705655779154,0.0,0.0,0.000211883857768377,0.13796435689934694,0.2227716922093056
2000-06-11,0.11729281592272292,0.07157670600073678,0.0,0.0,0.0,0.002539924405071764,0.0
2000-06-12,,0.0,,,,,
2000-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-14,0.0,0.0,0.0,0.0,0.0,0.015314697475467036,0.06199835995552257
2000-06-15,0.632599603016741,0.6435653226716177,0.7429226488510194,0.710511870072704,0.6724415495913822,0.6453347741103328,0.6329243527670493
2000-06-16,0.6369035569837515,0.6394381948879787,0.327140578360798,0.5730899501514128,0.6496008766812766,0.6497622570699951,0.6144307154122176
2000-06-17,0.7124847435015624,0.7156269635472979,0.049990069845590845,0.5849760271817188,0.7285396372519732,0.7155582323613339,0.7001719622575494
2000-06-18,0.6991156563868541,0.6968479071344648,0.004911086624306158,0.48322976358423164,0.7015821794155045,0.7154953897967437,0.7153002303115612
2000-06-19,0.5436168681623488,0.5425438455172948,0.26779941620895753,0.334682871428735,0.4204699845215839,0.4815970320829725,0.5003923707596687
2000-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-21,0.6937057970341228,0.7133969920022147,0.0,0.23949415826252995,0.6903207706621874,0.7417020805583763,0.7174229526407451
2000-06-22,0.6613787697358446,0.6617592658315385,0.0,0.12467470379026073,0.5750498241435796,0.6982725888959841,0.6688730959441553
2000-06-23,0.2192065301622202,0.2115055194922856,0.0,0.030779872458988385,0.3241621612540292,0.25330394691076374,0.4609761090051862
2000-06-24,0.050064951746002416,0.05841241138322013,0.0,0.011638873704282095,0.05075175664518186,0.11479851918631694,0.18794203096796688
2000-06-25,0.0,0.0,0.06765010213038859,0.022411960965249788,0.01981759114575219,0.01471880764704924,0.0
2000-06-26,0.6999876074926455,0.709811840738569,0.5473976351532113,0.7761607715135006,0.7251921851815615,0.7125066035789869,0.7000218966648913
2000-06-27,,0.0,,,,,
2000-06-28,0.4783942978501482,0.48375487327575684,0.36733855068788757,0.4366315982667423,0.4621690896980567,0.4699943264893229,0.46077990142279734
2000-06-29,0.41109283552763426,0.4319520209516798,0.4571879172187577,0.4727271487386942,0.48305923165386216,0.4721445721278786,0.46363949744980804
2000-06-30,0.0,0.0,0.0,0.0,0.04107143179716453,0.016566430799404373,0.03436849205738244
2000-07-01,0.48308715986463474,0.48197819079671583,0.0,0.06993564080946972,0.18831903894772534,0.30092291504168134,0.2761330907139818
2000-07-02,0.6996196848775118,0.6973382234573365,0.12828437624548208,0.7766633522384637,0.7761570701102483,0.7274379434741243,0.6851562811818648
2000-07-03,0.7454244916268066,0.7528221011161804,0.16495265780906893,0.8271619540023352,0.864999007458788,0.790235200929522,0.7532160027639326
2000-07-04,0.7803916429473192,0.78470516204834,0.0723330693202528,0.7802812537540117,0.8921833199286119,0.8177684563521386,0.7653032525829768
2000-07-05,0.8007615815157497,0.81557697057724,0.010374160397233248,0.7239996883386387,0.9351096840627197,0.8742218614702796,0.8294444325850625
2000-07-06,0.7732875531839261,0.778279219354902,0.04673767897656222,0.6903608415436653,0.886936132935678,0.8401007659495634,0.8003260834127212
2000-07-07,0.5507504351648812,0.543741694518498,0.4855760063855029,0.48961712801055707,0.5039282624168049,0.5108578268342514,0.5269270033978183
2000-07-08,0.286409151086304,0.3562823491437095,0.0,0.0,0.009239555493451726,0.10764191088500329,0.0
2000-07-09,0.512455097272367,0.5287269524165562,0.22700165775301312,0.13381364638723378,0.1138001839383116,0.13967170100100706,0.0025306784134309906
2000-07-10,0.6013567913852944,0.6158707397324698,0.558253288948061,0.6473974721641708,0.6159761411566325,0.5601050072354463,0.505060594357787
2000-07-11,0.7049775802718125,0.7079501748085021,0.29414050306456224,0.7109196468967882,0.7273861071505346,0.717968774782884,0.7193117348654954
2000-07-12,0.7528614691371683,0.7351897273744856,0.14022971822876237,0.7417692116479441,0.7862767188194807,0.7585637925960402,0.7374507741140394
2000-07-13,0.6645891123598741,0.6588712845529829,0.0760971689954078,0.6396463361089196,0.7346638787941743,0.6954935498630267,0.6833819000333444
2000-07-14,0.5974025698088825,0.5911356977054051,0.010151038496402821,0.5026854623902954,0.6695464281176757,0.6567598349115731,0.6263336255110897
2000-07-15,0.7457689440460101,0.75113023178918,0.007909272606979479,0.5873695228054804,0.8535207601085871,0.8022826518685526,0.7472993130888902
2000-07-16,0.8089547779950461,0.811639164175306,0.0,0.5408314061000111,0.8753169141621301,0.8540109077194913,0.8148243640701962
2000-07-17,0.7961954694639521,0.7974903498377119,0.0,0.49409945178447934,0.8693397018393281,0.8412630504432891,0.7918741190356275
2000-07-18,0.7197300145687365,0.7283820850508554,0.0009014910632120446,0.5157285269702503,0.7910585143128744,0.7781875004030417,0.7922623969254705
2000-07-19,0.8140594032523757,0.8348342095102583,0.0,0.45875108934428427,0.8727487273876076,0.8763477690067388,0.8371476928217534
2000-07-20,0.11850690462592488,0.05854218772479466,0.0,0.0,0.002668997729350256,0.08743343212447605,0.0
2000-07-21,0.5465827577814197,0.5449174642562866,0.4569188772966172,0.48206034021985145,0.5113193609155336,0.5332931286556627,0.6092097208834091
2000-07-22,0.6698493303400898,0.6628518104553223,0.12304862414180191,0.6486149498698364,0.6768351455389815,0.6622215725453687,0.637069740428099
2000-07-23,0.7678168777361289,0.7684529423713683,0.015050109731578026,0.6698390163894228,0.7967930743715942,0.7748860335473842,0.7646584587502958
2000-07-24,0.7935841795717427,0.7937005247388567,0.0,0.5046334579508949,0.8341193636103155,0.8181415791888021,0.7962475547696455
2000-07-25,0.8382368366031103,0.8309426563126701,0.0,0.4579881305744678,0.856176360886518,0.8640010748817397,0.8341519551612744
2000-07-26,0.8625449635017868,0.8702984622546605,0.0,0.41305063885252596,0.8410842995876472,0.8820287286103599,0.8452432417300904
2000-07-27,0.8520894995884256,0.8525320632117135,0.0,0.42744096308601437,0.8147177239578174,0.8735438405678759,0.8515048352968568
2000-07-28,0.8716735945502864,0.8803537487983704,0.0,0.37579246884086964,0.8125836630520439,0.90113516107626,0.8792093725978136
2000-07-29,0.6572022984089161,0.625008979013988,0.0,0.16647985597593568,0.4157392441260658,0.6073594518636335,0.5459342828048975
2000-07-30,0.8871999132133142,0.8917421783719742,0.0,0.3383583662473447,0.7876026551916694,0.9087311879117929,0.894774736307816
