Río Chalinga Nodes and Reaches, 0 \ Headflow, 1 \ CA_Gabino Outflow, 2 \ Reach, 3 \ Río Chalinga en La Palmilla (gauge), 3 \ ZR_Gavino Runoff, 4 \ Reach, 5 \ CL_09 Inflow, 6 \ Reach, 7 \ CA_Destiladera Outflow, 8 \ Reach, 9 \ CA_Destiladera Outflow 2,10 \ Reach,11 \ ZR_Destiladera Runoff,12 \ Reach,13 \ CA_Batuco Chalinga Outflow,14 \ Reach,15 \ ZR_Batuco Chalinga Runoff,16 \ Reach,17 \ CA_Molino de Zapallar Outflow,18 \ Reach,19 \ ZR_Molino de Zapallar Runoff,20 \ Reach,21 \ CA_Toma Ranque Outflow,22 \ Reach,23 \ ZR_Ranque Runoff,24 \ Reach,25 \ CA_Palquial Outflow,26 \ Reach,27 \ ZR_Palquial Runoff,28 \ Reach,29 \ CA_Valentino Outflow,30 \ Reach,31 \ ZR_Valentino Runoff,32 \ Reach,33 \ CA_Maravillal Outflow,34 \ Reach,35 \ ZR_Maravillal Runoff,36 \ Reach,37 \ CA_Alameda Outflow,38 \ Reach,39 \ ZR_Alameda Runoff,40 \ Reach,41 \ CA_Cunlagua Outflow,42 \ Reach,43 \ ZR_Cunlagua Runoff,44 \ Reach,45 \ CA_Los Guindos Outflow,46 \ Reach,47 \ ZR_Los Guindos Runoff,48 \ Reach,49 \ CA_Huanque Outflow,50 \ Reach,51 \ ZR_Huanque Runoff,52 \ Reach,53 \ CA_Chanar Chalinga Outflow,54 \ Reach,55 \ ZR_Chanar Chalinga Runoff,56 \ Reach,57 \ CA_Arboleda Grande Outflow,58 \ Reach,59 \ ZR_Arboleda Grande Runoff,60 \ Reach,61 \ CA_Chalinga Outflow,62 \ Reach,63 \ ZR_Chalinga Runoff,64 \ Reach,65 \ ZR_Tebal Runoff,66 \ Reach,67 \ CA_Tebal Outflow,68 \ Reach,69 \ ZR_Chilcas Runoff,70 \ Reach,71 \ CA_Chilcas Outflow,71 \ PC_DES_CHALINGA (gauge),72 \ Reach
abr-89,0.844232,0.814232,0.814232,0.844233,0.814232,0.814232,1.04646,1.036,1.036,1.036,1.036,1.036,1.036,1.036,0.735997,0.735997,0.748686,0.748686,0.740077,0.740077,0.742793,0.742793,0.741038,0.741038,0.741646,0.741646,0.699486,0.699486,0.711115,0.711115,0.710554,0.710554,0.710635,0.710635,0.705572,0.705572,0.707127,0.707127,0.704915,0.704915,0.705577,0.698522,0.498522,0.498522,0.50366,0.50366,0.47566,0.47566,0.475891,0.475891,0.335891,0.335891,0.339561,0.339561,0.337883,0.337883,0.338038,0.338038,0.188038,0.188038,0.192916,0.192916,0.0739158,0.0739158,0.0770081,0.0770081,0.086148,0.086148,0.0495918,0.0495918,0.053801,0.053801,0,0,0
may-89,0.850224,0.820224,0.820224,0.850226,0.820224,0.829928,1.06384,1.0532,1.0532,1.0532,0.977203,0.977203,0.977203,0.977203,0.677203,0.677203,0.68171,0.781118,0.781118,0.781118,0.782532,1.00939,1.00939,1.00939,1.00985,1.01147,0.747292,0.747292,0.749775,0.774721,0.756521,0.756521,0.756553,0.756829,0.725269,0.725269,0.725435,0.727931,0.727931,0.727931,0.728356,0.731258,0.531258,0.531258,0.53314,0.611049,0.583049,0.583049,0.583197,0.595491,0.455491,0.455491,0.456614,0.50328,0.502366,0.502366,0.50245,0.50245,0.35245,0.35245,0.354809,0.392679,0.273679,0.273679,0.274617,0.323203,0.328637,0.347852,0.117852,0.117852,0.12,0.12,0,0,0
jun-89,1.2778,1.2478,1.2478,1.2778,1.2478,1.25782,1.61189,1.59577,1.59577,1.59577,1.51977,1.51977,1.51977,1.56035,1.26035,1.26035,1.26346,1.36618,1.30718,1.30718,1.30779,1.5708,1.5588,1.5588,1.55895,1.55895,1.26895,1.26895,1.27202,1.43354,1.41534,1.41534,1.41536,1.42463,1.39307,1.39307,1.39358,1.40966,1.38166,1.38166,1.38185,1.49002,1.29002,1.29002,1.2915,1.37201,1.34401,1.34401,1.34412,1.35738,1.21738,1.21738,1.21872,1.26695,1.21695,1.21695,1.217,1.217,1.067,1.067,1.06822,1.10735,0.988349,0.988349,0.989305,1.03951,1.0427,1.16763,0.937631,0.937631,0.939038,0.939038,0.819038,0,0.819038
jul-89,1.32677,1.29677,1.29677,1.32677,1.29677,1.30648,1.6743,1.65756,1.65756,1.65756,1.58156,1.58156,1.58156,1.62083,1.32083,1.32083,1.32441,1.42381,1.36481,1.36481,1.36639,1.68431,1.67231,1.67231,1.67287,1.68391,1.39391,1.39391,1.4008,1.5724,1.5542,1.5542,1.55432,1.5633,1.53174,1.53174,1.53201,1.54757,1.51957,1.51957,1.52043,1.66788,1.46788,1.46788,1.47241,1.55032,1.52232,1.52232,1.52255,1.53563,1.39563,1.39563,1.39871,1.44538,1.39538,1.39538,1.39547,1.43053,1.28053,1.28053,1.28573,1.3236,1.2046,1.2046,1.20868,1.25727,1.26972,1.39061,1.16061,1.16061,1.16751,1.16751,1.04751,0,1.04751
ago-89,1.14161,1.11161,1.11161,1.14161,1.11161,1.12164,1.43743,1.42306,1.42306,1.42306,1.34706,1.34706,1.34706,1.38764,1.08764,1.08764,1.09304,1.19577,1.13677,1.13677,1.14124,1.47074,1.45874,1.45874,1.46024,1.47165,1.18165,1.18165,1.19651,1.37383,1.35563,1.35563,1.35593,1.3652,1.33364,1.33364,1.33431,1.35039,1.32239,1.32239,1.32432,1.48138,1.28138,1.28138,1.29046,1.37097,1.34297,1.34297,1.34324,1.3559,1.2159,1.2159,1.22105,1.26927,1.21927,1.21927,1.21937,1.25533,1.10533,1.10533,1.11348,1.15262,1.03362,1.03362,1.03807,1.08828,1.10988,1.23481,1.00481,1.00481,1.01254,1.01254,0.892542,0,0.892542
sept-89,1.73433,1.70433,1.70433,1.73433,1.70433,1.71436,2.19671,2.17474,2.17474,2.17474,2.09874,2.09874,2.09874,2.13932,1.83932,1.83932,1.84872,1.95144,1.89244,1.89244,1.89581,2.223,2.211,2.211,2.21182,2.22323,1.93323,1.93323,1.94491,2.12223,2.10403,2.10403,2.10408,2.11335,2.08179,2.08179,2.08312,2.0992,2.0712,2.0712,2.07203,2.21987,2.01987,2.01987,2.02618,2.10668,2.07868,2.07868,2.07917,2.09164,1.95164,1.95164,1.95754,2.00576,1.95576,1.95576,1.95597,1.99186,1.84186,1.84186,1.84821,1.88734,1.76834,1.76834,1.77247,1.82268,1.83781,1.96273,1.73273,1.73273,1.73973,1.73973,1.61973,0,1.61973
oct-89,2.1871,2.1571,2.1571,2.1871,2.1571,2.1668,2.7955,2.76755,2.76755,2.76755,2.69155,2.69155,2.69155,2.73082,2.43082,2.43082,2.44433,2.54374,2.48474,2.48474,2.49068,2.81465,2.80265,2.80265,2.80417,2.81521,2.52521,2.52521,2.54651,2.71811,2.69991,2.69991,2.70003,2.709,2.67744,2.67744,2.67972,2.69528,2.66728,2.66728,2.66902,2.81255,2.61255,2.61255,2.62456,2.70247,2.67447,2.67447,2.67523,2.68584,2.54584,2.54584,2.55725,2.60391,2.55391,2.55391,2.55426,2.58817,2.43817,2.43817,2.45,2.48786,2.36886,2.36886,2.37672,2.4253,2.45468,2.57558,2.34558,2.34558,2.3595,2.3595,2.2395,0,2.2395
nov-89,1.38933,1.35933,1.35933,1.38933,1.35933,1.36936,1.95502,1.93547,1.93547,1.93547,1.85947,1.85947,1.85947,1.90005,1.60005,1.60005,1.6299,1.73262,1.67362,1.67362,1.68487,2.02615,2.01415,2.01415,2.01704,2.02845,1.73845,1.73845,1.77491,1.95222,1.93402,1.93402,1.93423,1.94351,1.91195,1.91195,1.91513,1.93121,1.90321,1.90321,1.90646,2.07023,1.87023,1.87023,1.89177,1.97227,1.94427,1.94427,1.94624,1.95537,1.81537,1.81537,1.83605,1.88428,1.83428,1.83428,1.83511,1.86904,1.71904,1.71904,1.73709,1.77623,1.65723,1.65723,1.67115,1.72135,1.77491,1.89983,1.66983,1.66983,1.69525,1.69525,1.57525,0,1.57525
dic-89,1.48645,1.45645,1.45645,1.48645,1.45645,1.46615,1.86063,1.84202,1.84202,1.84202,1.76602,1.76602,1.76602,1.80529,1.50529,1.50529,1.54186,1.64127,1.58227,1.58227,1.59605,1.91796,1.90596,1.90596,1.90944,1.92048,1.63048,1.63048,1.67497,1.84657,1.82837,1.82837,1.82864,1.83762,1.80606,1.80606,1.80975,1.82531,1.79731,1.79731,1.80121,1.95237,1.75237,1.75237,1.77798,1.85589,1.82789,1.82789,1.83,1.83093,1.69093,1.69093,1.71496,1.76163,1.71163,1.71163,1.71261,1.7417,1.5917,1.5917,1.60975,1.64762,1.52862,1.52862,1.54502,1.59361,1.65112,1.77201,1.54201,1.54201,1.57089,1.57089,1.45089,0,1.45089
ene-90,1.21355,1.18355,1.18355,1.21355,1.18355,1.19357,1.55351,1.53798,1.53798,1.53798,1.46198,1.46198,1.46198,1.50256,1.20256,1.20256,1.23841,1.34113,1.28213,1.28213,1.29499,1.62716,1.61516,1.61516,1.61843,1.62983,1.33983,1.33983,1.3827,1.56002,1.54182,1.54182,1.54209,1.55136,1.5198,1.5198,1.52355,1.53963,1.51163,1.51163,1.51527,1.67485,1.47485,1.47485,1.49872,1.57923,1.55123,1.55123,1.55322,1.55322,1.41322,1.41322,1.43519,1.48341,1.43341,1.43341,1.43431,1.46318,1.31318,1.31318,1.33124,1.37037,1.25137,1.25137,1.26657,1.31677,1.37392,1.49884,1.26884,1.26884,1.29606,1.29606,1.17606,0,1.17606
