Río Chalinga Nodes and Reaches,72 \ Reach
abr-89,0
may-89,0
jun-89,0.819038
jul-89,1.04751
ago-89,0.892542
sept-89,1.61973
oct-89,2.2395
nov-89,1.57525
dic-89,1.45089
ene-90,1.17606
feb-90,0.780021
mar-90,0.402757
abr-90,0.455915
may-90,0.735679
jun-90,0.992423
jul-90,0.938801
ago-90,0.740683
sept-90,1.3931
oct-90,1.94731
nov-90,2.04994
dic-90,1.93422
ene-91,1.85751
feb-91,1.66513
mar-91,1.38256
abr-91,1.36296
may-91,1.18094
jun-91,1.3072
jul-91,0.982863
ago-91,0.922128
sept-91,0.787936
oct-91,0.778472
nov-91,1.27084
dic-91,1.38229
ene-92,1.08542
feb-92,0.680738
mar-92,0.390847
abr-92,0.415424
may-92,0.404626
jun-92,1.19931
jul-92,0.941598
ago-92,0.841847
sept-92,1.55227
oct-92,2.18523
nov-92,2.11071
dic-92,1.31313
ene-93,1.17586
feb-93,0.848043
mar-93,0.35935
abr-93,0.490443
may-93,2.50465
jun-93,1.35835
jul-93,1.01994
ago-93,0.569991
sept-93,0.943066
oct-93,0.920424
nov-93,1.11913
dic-93,0.917722
ene-94,0.800885
feb-94,0.549027
mar-94,0.197739
abr-94,0.213567
may-94,0.167902
jun-94,0.167588
jul-94,0.159025
ago-94,0.198615
sept-94,0.299749
oct-94,0.393987
nov-94,0.377508
dic-94,0.363636
ene-95,0.277537
feb-95,0.327215
mar-95,0.212915
abr-95,0.111912
may-95,0.0749366
jun-95,0.102707
jul-95,0.0456287
ago-95,0.13342
sept-95,0.239566
oct-95,0.0933557
nov-95,0.30941
dic-95,0.116299
ene-96,0.206639
feb-96,0.267445
mar-96,0.129346
abr-96,0.22329
may-96,0
jun-96,0
jul-96,0.146661
ago-96,0.0396804
sept-96,0.140144
oct-96,0.066287
nov-96,0.249632
dic-96,0.277174
ene-97,0.129693
feb-97,0.197538
mar-97,0.165025
abr-97,0.193642
may-97,0
jun-97,1.21047
jul-97,0.677907
ago-97,3.11516
sept-97,4.24714
oct-97,4.25479
nov-97,5.20167
dic-97,6.67376
ene-98,5.46445
feb-98,3.01488
mar-98,2.26655
abr-98,1.44319
may-98,1.1116
jun-98,1.24533
jul-98,0.867336
ago-98,0.295355
sept-98,0.689082
oct-98,1.17831
nov-98,1.55056
dic-98,0.998376
ene-99,0.468154
feb-99,0.512541
mar-99,0.0492664
abr-99,0.13894
may-99,0.415426
jun-99,0.315124
jul-99,0.54313
ago-99,0.734817
sept-99,0.524408
oct-99,0.296098
nov-99,0.415198
dic-99,0.426403
ene-00,0.762684
feb-00,0
mar-00,0.132387
abr-00,0.220148
may-00,0.170765
jun-00,0.374623
jul-00,0.0268462
ago-00,0.34439
sept-00,1.25447
oct-00,2.23061
nov-00,2.38356
dic-00,1.94963
ene-01,1.17173
feb-01,0.724711
mar-01,0.504954
abr-01,0.417719
may-01,0.352624
jun-01,0.238484
jul-01,0.879652
ago-01,0.753709
sept-01,0.792748
oct-01,1.15329
nov-01,1.28172
dic-01,0.75613
ene-02,0.642733
feb-02,0.436835
mar-02,0.205654
abr-02,0.172737
may-02,0.488089
jun-02,1.76017
jul-02,1.13143
ago-02,2.74557
sept-02,2.26279
oct-02,2.66406
nov-02,3.20857
dic-02,3.34372
ene-03,2.86544
feb-03,1.8674
mar-03,1.26471
abr-03,1.02859
may-03,1.01368
jun-03,1.07312
jul-03,0.953802
ago-03,0.795784
sept-03,0.629188
oct-03,0.706098
nov-03,0.937641
dic-03,0.78401
ene-04,0.657077
feb-04,0.56705
mar-04,0.372983
abr-04,0.364601
may-04,0.228532
jun-04,0.343814
jul-04,0.287079
ago-04,0.435666
sept-04,0.265185
oct-04,0.31469
nov-04,0.350453
dic-04,0.388489
ene-05,0.389033
feb-05,0.38477
mar-05,0.138193
abr-05,0.249342
may-05,0.122206
jun-05,0.0406725
jul-05,0.163532
ago-05,0.163372
sept-05,0.868085
oct-05,0.924479
nov-05,1.84146
dic-05,1.57914
ene-06,1.14891
feb-06,0.703255
mar-06,0.408902
abr-06,0.394347
may-06,0.215057
jun-06,0.394269
jul-06,0.596085
ago-06,0.47484
sept-06,0.338871
oct-06,0.448971
nov-06,0.635584
dic-06,0.443882
ene-07,0.449143
feb-07,0.322293
mar-07,0.191733
abr-07,0.250117
may-07,0.263339
jun-07,0.361711
jul-07,0
ago-07,0.203944
sept-07,0.223996
oct-07,0.324997
nov-07,0.434116
dic-07,0.424744
ene-08,0.434045
feb-08,0.368
mar-08,0.194142
abr-08,0.226936
may-08,0.145927
jun-08,0.140228
jul-08,0.011119
ago-08,0.40754
sept-08,0.746255
oct-08,1.03304
nov-08,1.63572
dic-08,1.1312
ene-09,0.845589
feb-09,0.538113
mar-09,0.24779
abr-09,0.263092
may-09,0.18602
jun-09,0.354053
jul-09,0.0394663
ago-09,0.369509
sept-09,0.56557
oct-09,0.610124
nov-09,0.824212
dic-09,0.476148
ene-10,0.453995
feb-10,0.337531
mar-10,0.143786
abr-10,0.274953
may-10,0.108052
jun-10,0.238232
jul-10,0.0690893
ago-10,0.238556
sept-10,0.15512
oct-10,0.229834
nov-10,0.337819
dic-10,0.501501
ene-11,0.407623
feb-11,0.233907
mar-11,0.136418
abr-11,0.118086
may-11,0.071854
jun-11,0.26552
jul-11,0.0485299
ago-11,0
sept-11,0
oct-11,0.0767303
nov-11,0.486347
dic-11,0.601318
ene-12,0.140517
feb-12,0.323617
mar-12,0.186119
abr-12,0.064003
may-12,0.0692172
jun-12,0.0886827
jul-12,0.107659
ago-12,0.0961222
sept-12,0.157156
oct-12,0.17755
nov-12,0.247232
dic-12,0.20218
ene-13,0.253928
feb-13,0.211288
mar-13,0.104021
abr-13,0.125453
may-13,0.156652
jun-13,0
jul-13,0
ago-13,0.284647
sept-13,0.0375189
oct-13,0.161734
nov-13,0.159339
dic-13,0.423686
ene-14,0.234719
feb-14,0.187011
mar-14,0.135203
abr-14,0.132984
may-14,0.0777817
jun-14,0.130204
jul-14,0.156117
ago-14,0.0948783
sept-14,0.0823397
oct-14,0.129952
nov-14,0.240704
dic-14,0.194526
ene-15,0.141151
feb-15,0.128263
mar-15,0.0716463
abr-15,0.11909
may-15,0.0772344
jun-15,0.083615
jul-15,0.0170058
ago-15,0.012926
sept-15,0.065414
oct-15,0.858395
nov-15,1.83057
dic-15,1.10193
ene-16,0.608668
feb-16,0.355459
mar-16,0.218126
abr-16,0.181147
may-16,0.273807
jun-16,1.35149
jul-16,0.739212
ago-16,0.315367
sept-16,0.461727
oct-16,0.637092
nov-16,0.869179
dic-16,0.344563
ene-17,0.311702
feb-17,0.4837
mar-17,0.154079
abr-17,0.328656
may-17,0
jun-17,0.0537659
jul-17,0.192011
ago-17,0.361629
sept-17,0.16581
oct-17,0.0497775
nov-17,0
dic-17,0.049
ene-18,0.226485
feb-18,0.29582
mar-18,0.145975
abr-18,0.485071
may-18,0.364136
jun-18,0.0265418
jul-18,0.105314
ago-18,0.176608
sept-18,0
oct-18,0
nov-18,0.205694
dic-18,0.192849
ene-19,0.238528
feb-19,0.164536
mar-19,0.105133
abr-19,0.0937698
may-19,0
jun-19,0.00111086
jul-19,0.0684214
ago-19,0.12951
sept-19,0
oct-19,0
nov-19,0.0931422
dic-19,0.0503163
ene-20,0.0459644
feb-20,0.0840109
mar-20,0.0816614
abr-20,0.0546948
may-20,0.0368829
jun-20,0.0029171
jul-20,0
ago-20,0
sept-20,0.0279446
oct-20,0.0963849
nov-20,0.209982
dic-20,0.168162
ene-21,0.117868
feb-21,0.0348071
mar-21,0
