Transmission Link,Transmission Link from AC_01 to Veg_Riparia AC01,Transmission Link from AC_02 to Agua Potable_AC02,Transmission Link from AC_02 to Veg_Riparia AC02,Transmission Link from AC_03 to Agua Potable_AC03,Transmission Link from AC_03 to Veg_Riparia AC_03,Transmission Link from Withdrawal Node 1 to ZR_Gavino_ANU,Transmission Link from Withdrawal Node 10 to ZR_Cunlagua_FRU,Transmission Link from Withdrawal Node 11 to ZR_Los Guindos_ANU,Transmission Link from Withdrawal Node 12 to ZR_Huanque_FRU,Transmission Link from Withdrawal Node 13 to ZR_Chanar Chalinga_ANU,Transmission Link from Withdrawal Node 14 to ZR_Arboleda Grande_FRU,Transmission Link from Withdrawal Node 15 to ZR_Chalinga_FRU,Transmission Link from Withdrawal Node 16 to ZR_Tebal_FRU,Transmission Link from Withdrawal Node 17 to ZR_Chilcas_FRU,Transmission Link from Withdrawal Node 2 to ZR_Destiladera_ANU,Transmission Link from Withdrawal Node 20 to ZR_Batuco Chalinga_ANU,Transmission Link from Withdrawal Node 21 to ZR_Molino de Zapallar_ANU,Transmission Link from Withdrawal Node 22 to ZR_Toma Ranque_ANU,Transmission Link from Withdrawal Node 23 to ZR_Palquial_ANU,Transmission Link from Withdrawal Node 24 to ZR_Valentino_ANU,Transmission Link from Withdrawal Node 25 to ZR_Maravillal_ANU,Transmission Link from Withdrawal Node 26 to ZR_Alameda_ANU,Transmission Link from Withdrawal Node 27 to ZR_Cunlagua_ANU,Transmission Link from Withdrawal Node 29 to ZR_Huanque_ANU,Transmission Link from Withdrawal Node 3 to ZR_Batuco Chalinga_FRU,Transmission Link from Withdrawal Node 31 to ZR_Arboleda Grande_ANU,Transmission Link from Withdrawal Node 32 to ZR_Chalinga_ANU,Transmission Link from Withdrawal Node 33 to ZR_Tebal_ANU,Transmission Link from Withdrawal Node 34 to ZR_Chilcas_ANU,Transmission Link from Withdrawal Node 4 to ZR_Toma Ranque_FRU,Transmission Link from Withdrawal Node 5 to ZR_Molino de Zapallar_FRU,Transmission Link from Withdrawal Node 6 to ZR_Palquial_FRU,Transmission Link from Withdrawal Node 7 to ZR_Valentino_FRU,Transmission Link from Withdrawal Node 8 to ZR_Maravillal_FRU,Transmission Link from Withdrawal Node 9 to ZR_Alameda_FRU
abr-89,0.0084,0.00800046,0.0107333,0.012675,0.0107333,0,0,0.00153398,0,0.00120827,0,0,0,0,0,0.0273466,0.00636158,0.00163739,0.0252957,0.000280386,0.00253189,0.00164806,0.0110605,0.00665272,0,0.0103741,0.00673515,0.0194844,0.00874495,0,0,0,0,0,0
may-89,0.00808387,0.00774238,0.0103871,0.0122661,0.0103871,0,0,0.000980941,0,0.000658653,0,0,0,0,0,0.00971375,0,0,0,0,0.000269186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jun-89,0.00828333,0.00800046,0.01057,0.012675,0.01057,0,0,0.000737186,0,0.000444416,0,0,0,0,0,0.0067,0.00143104,0.000389856,0.00667478,5.60772E-05,0.000816953,0.000478435,0.00318869,0.0024283,0,0.00258172,0.00208234,0.00680785,0.00292237,0,0,0,0,0,0
jul-89,0.00794839,0.00774238,0.0100258,0.0122661,0.0100258,0,0,0.00157387,0,0.000717567,0,0,0,0,0,0.00770499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ago-89,0.00783548,0.00774238,0.00977742,0.0122661,0.00977742,0,0,0.00176639,0,0.000786023,0,0,0,0,0,0.0116459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sept-89,0.00800333,0.00800046,0.0098,0.012675,0.0098,0,0,0.00325066,0,0.00161937,0,0,0,0,0,0.0202521,0.00788606,0.00220722,0.0254125,0.00015736,0.00216829,0.00206129,0.0135699,0.0106961,0,0.0135135,0.00899291,0.0322543,0.0145446,0,0,0,0,0,0
oct-89,0.0075871,0.00774238,0.0092129,0.0122661,0.0092129,0,0,0.00504602,0,0.00270673,0,0,0,0,0,0.0291133,0.0139295,0.00411276,0.0463308,0.000403413,0.0037134,0.00432057,0.0258539,0.0206884,0,0.0251559,0.0171068,0.0626255,0.0289245,0,0,0,0,0,0
nov-89,0.00767667,0.00800046,0.00921667,0.012675,0.00921667,0,0,0.0130555,0,0.0065079,0,0,0,0,0,0.0643297,0.0263375,0.00777697,0.0793007,0.000720993,0.00518427,0.008071,0.046358,0.0374952,0,0.0384,0.0303206,0.114169,0.052796,0,0,0,0,0,0
dic-89,0.00718065,0.00774238,0.00849032,0.0122661,0.00849032,0,0,0.014,0,0.00766855,0,0,0,0,0,0.078817,0.0322835,0.00939327,0.096777,0.000933858,0.00601579,0.00970308,0.0551382,0.0435552,0,0.0384,0.0357288,0.12259,0.06,0,0,0,0,0,0
ene-90,0.00684194,0.00774238,0.00799355,0.0122661,0.00799355,0,0,0.0131734,0,0.00701466,0,0,0,0,0,0.077264,0.0301157,0.00879097,0.0932404,0.000933858,0.00610983,0.0090526,0.05138,0.0398327,0,0.0384,0.0331015,0.121818,0.0565427,0,0,0,0,0,0
feb-90,0.007225,0.00857192,0.008175,0.0135804,0.008175,0,0,0.00545417,0,0.00413812,0,0,0,0,0,0.0616797,0.0189762,0.00568269,0.0678764,0.000811117,0.00546962,0.00542769,0.0326277,0.0214373,0,0.0311373,0.0208852,0.0676404,0.0326774,0,0,0,0,0,0
mar-90,0.00609677,0.00774238,0.00681935,0.0122661,0.00681935,0,0,0.0021767,0,0.00211965,0,0,0,0,0,0.0446943,0.0117993,0.00332007,0.0456469,0.000557911,0.0042388,0.00316919,0.0198982,0.0117307,0,0.0187925,0.0121612,0.0359819,0.0165995,0,0,0,0,0,0
abr-90,0.0084,0.00800046,0.0107333,0.012675,0.0107333,0,0,0.00153398,0,0.00120827,0,0,0,0,0,0.0273466,0.00720861,0.00189108,0.027278,0.000308997,0.00267199,0.00185607,0.0119669,0.00735966,0.0234218,0.0112897,0.0071477,0.0217514,0.00945804,0,0,0,0,0,0
may-90,0.00808387,0.00774238,0.0103871,0.0122661,0.0103871,0,0,0.000910227,0,0.000619426,0,0,0,0,0,0.00934708,0.00190538,0.000567957,0.0107508,0.000132653,0.00135389,0.000899784,0.00525652,0.00388184,0.0190017,0.00381791,0.00325494,0.0109721,0.00448494,0,0,0,0,0,0
jun-90,0.00828333,0.00800046,0.01057,0.012675,0.01057,0,0,0.000225681,0,0.000160677,0,0,0,0,0,0.00404773,0.000584006,0.000136157,0.00370146,2.17442E-05,0.000606792,0.000166412,0.00137595,0.00125006,0.0171106,0.00105572,0.00125724,0.00302963,0.00149621,0,0,0,0,0,0
jul-90,0.00794839,0.00774238,0.0100258,0.0122661,0.0100258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00678632,0,0,0,0,0,0,0,0,0,0
ago-90,0.00783548,0.00774238,0.00977742,0.0122661,0.00977742,0,0,0.00103095,0,0.000378066,0,0,0,0,0,0.00709917,0.00229662,0.00063573,0.00654265,0,0.000675058,0.000348778,0.00291447,0.00288475,0.0051576,0.00320972,0.0025356,0.00757933,0.00371717,0,0,0,0,0,0
sept-90,0.00800333,0.00800046,0.0098,0.012675,0.0098,0,0,0.00241033,0,0.00115322,0,0,0,0,0,0.0158948,0.00548614,0.00148841,0.0164925,5.43606E-05,0.00153781,0.00112522,0.00813167,0.00669012,0.00308551,0.00832507,0.00548627,0.0178971,0.00848343,0,0,0,0,0,0
oct-90,0.0075871,0.00774238,0.0092129,0.0122661,0.0092129,0,0,0.00669367,0,0.00362071,0,0,0,0,0,0.0376568,0.0136562,0.00403092,0.0453716,0.000392338,0.00364561,0.00421992,0.0252692,0.0202323,0.00570051,0.0245652,0.0165079,0.0604317,0.0278894,0,0,0,0,0,0
nov-90,0.00767667,0.00800046,0.00921667,0.012675,0.00921667,0,0,0.0130555,0,0.0065079,0,0,0,0,0,0.0643297,0.0263375,0.00777697,0.0793007,0.000720993,0.00518427,0.008071,0.046358,0.0374952,0.00673203,0.0384,0.0303206,0.114169,0.052796,0,0,0,0,0,0
dic-90,0.00718065,0.00774238,0.00849032,0.0122661,0.00849032,0,0,0.014,0,0.00766855,0,0,0,0,0,0.078817,0.0322835,0.00939327,0.096777,0.000933858,0.00601579,0.00970308,0.0551382,0.0435552,0.00963657,0.0384,0.0357288,0.12259,0.06,0,0,0,0,0,0
