Runoff/Infiltration,Runoff/Infiltration from Turbio 1 to Río Turbio,Runoff/Infiltration from Turbio 2 to Río Turbio,Runoff/Infiltration from Turbio 3 to Río Turbio,Runoff/Infiltration from Turbio 4 to Río Turbio
May-00,0.148343,0.477449,0.342701,0.371866
Jun-00,0.1231,0.389306,0.296075,0.427554
Jul-00,0.0995404,0.310723,0.237049,0.651497
Aug-00,0.0834401,0.258072,0.196751,0.361008
Sep-00,0.0723615,0.222212,0.369896,0.698681
Oct-00,0.0714889,0.214253,0.213345,0.589427
Nov-00,0.0859533,0.25227,0.239268,0.60162
Dec-00,0.144799,0.414916,0.348226,0.470755
Jan-01,0.342056,0.979615,0.73629,0.336859
Feb-01,0.231163,0.66343,0.470933,0.285435
Mar-01,0.197851,0.462209,0.327015,0.205771
Apr-01,0.149447,0.353654,0.253806,0.17423
May-01,0.11407,0.276243,0.204784,0.14465
Jun-01,0.0974221,0.238474,0.179958,0.130241
Jul-01,0.079114,0.194987,0.209605,0.418347
Aug-01,0.0669168,0.165934,0.20422,0.361312
Sep-01,0.0588808,0.146878,0.169203,0.368708
Oct-01,0.070317,0.205358,0.222344,0.32947
Nov-01,0.0790806,0.216315,0.215125,0.235501
Dec-01,0.143598,0.396054,0.339424,0.184239
Jan-02,0.340913,0.74792,0.414983,0.14459
Feb-02,0.121185,0.29378,0.205225,0.128819
Mar-02,0.0794064,0.193271,0.138444,0.0957086
Apr-02,0.070407,0.184715,0.134054,0.0912508
May-02,0.0591424,0.210877,0.370343,0.282372
Jun-02,0.0524225,0.217395,0.634178,0.888468
Jul-02,0.0440334,0.179016,0.375545,0.96738
Aug-02,0.0384039,0.153761,0.361649,0.763019
Sep-02,0.0346311,0.151681,0.360442,0.685498
Oct-02,0.0380907,0.147546,0.274791,0.635342
Nov-02,0.0511806,0.188307,0.294672,0.548302
Dec-02,0.108713,0.353702,0.397536,0.395736
Jan-03,0.307094,0.921774,0.781862,0.300682
Feb-03,0.205604,0.618915,0.52579,0.255798
Mar-03,0.23935,0.705836,0.355813,0.182
Apr-03,0.233843,0.671412,0.271295,0.151547
May-03,0.223653,0.736182,0.358754,0.179596
Jun-03,0.193578,0.693966,0.473592,0.292692
Jul-03,0.150198,0.510211,0.347688,0.34552
Aug-03,0.122231,0.414994,0.272776,0.225321
Sep-03,0.103401,0.34578,0.293645,0.221721
Oct-03,0.134506,0.425004,0.284008,0.167889
Nov-03,0.153449,0.385273,0.179718,0.142503
Dec-03,0.250446,0.263501,0.132611,0.111779
Jan-04,0.185436,0.196209,0.102183,0.090833
Feb-04,0.109755,0.161463,0.0869013,0.0804294
Mar-04,0.083147,0.128802,0.0711443,0.0663142
Apr-04,0.085265,0.149704,0.0888175,0.0764595
May-04,0.0741682,0.142333,0.0884442,0.078287
Jun-04,0.0647056,0.135879,0.110044,0.0933032
Jul-04,0.0535622,0.108044,0.0995251,0.171861
Aug-04,0.0462321,0.0945441,0.0854208,0.170341
Sep-04,0.0438125,0.121843,0.12522,0.206162
Oct-04,0.0467152,0.116815,0.168335,0.185303
Nov-04,0.0747272,0.189384,0.25307,0.155096
Dec-04,0.13591,0.327145,0.158292,0.120741
Jan-05,0.144982,0.192476,0.110398,0.0960503
Feb-05,0.0752373,0.15204,0.0908106,0.0864625
Mar-05,0.0688034,0.141388,0.0889807,0.0786798
Apr-05,0.0679491,0.146084,0.0968881,0.0865995
May-05,0.0569624,0.135085,0.130786,0.122773
Jun-05,0.0504896,0.152755,0.535795,0.563839
Jul-05,0.0423984,0.115173,0.25103,0.320888
Aug-05,0.0369937,0.100281,0.391219,0.525851
Sep-05,0.0335276,0.0908819,0.299263,0.536184
Oct-05,0.0284403,0.112397,0.284772,0.417469
Nov-05,0.0324155,0.147465,0.292189,0.321561
Dec-05,0.0567906,0.311359,0.399869,0.250948
Jan-06,0.18246,0.878797,0.260317,0.198956
Feb-06,0.138247,0.524963,0.209483,0.181437
Mar-06,0.188525,0.348695,0.146745,0.135879
Apr-06,0.185591,0.262093,0.120182,0.115836
May-06,0.139757,0.201942,0.0960712,0.0945691
Jun-06,0.114295,0.193409,0.115401,0.100656
Jul-06,0.091163,0.14943,0.247936,0.351902
Aug-06,0.0765494,0.1287,0.120899,0.160813
Sep-06,0.0666948,0.114823,0.10443,0.138071
Oct-06,0.106188,0.214298,0.186305,0.120297
Nov-06,0.125334,0.270716,0.14044,0.0967782
Dec-06,0.117264,0.215641,0.0999545,0.0768407
Jan-07,0.0749925,0.147465,0.0759599,0.0637011
Feb-07,0.0617708,0.123213,0.0663955,0.0596491
Mar-07,0.0440517,0.0893119,0.0494784,0.0464408
Apr-07,0.0372868,0.0768546,0.0433684,0.0419194
May-07,0.0306515,0.0641704,0.0365891,0.0359407
Jun-07,0.0275528,0.0585008,0.0335541,0.0712546
Jul-07,0.0235243,0.050578,0.029122,0.0740226
Aug-07,0.0209142,0.0454775,0.0262727,0.0540965
Sep-07,0.0192466,0.0422975,0.0245362,0.0505725
Oct-07,0.0412855,0.0971263,0.05634,0.0899571
Nov-07,0.0638746,0.159184,0.0950737,0.0751404
Dec-07,0.0616039,0.13743,0.114159,0.0608979
Jan-08,0.0396412,0.0913064,0.0708154,0.0485891
Feb-08,0.0323614,0.0745263,0.0567349,0.0437197
Mar-08,0.024246,0.0561776,0.042074,0.0354662
Apr-08,0.0207818,0.0484032,0.0357679,0.0319916
May-08,0.0174603,0.0549171,0.0650997,0.0482658
Jun-08,0.0160994,0.0638414,0.198137,0.291405
Jul-08,0.0140824,0.0548398,0.141063,0.228901
Aug-08,0.0127753,0.049036,0.0981747,0.378054
Sep-08,0.011995,0.0460467,0.0922704,0.285071
Oct-08,0.0157795,0.0584397,0.0946449,0.34611
Nov-08,0.0261997,0.0926921,0.124009,0.287851
Dec-08,0.0790618,0.247117,0.236112,0.213863
Jan-09,0.27523,0.808643,0.628028,0.166826
Feb-09,0.181517,0.427501,0.25738,0.147235
Mar-09,0.145596,0.282131,0.171251,0.108712
Apr-09,0.105716,0.209061,0.133362,0.0936632
May-09,0.0806411,0.167742,0.109453,0.0793164
Jun-09,0.0699549,0.149852,0.158703,0.136804
Jul-09,0.058069,0.125119,0.102431,0.163121
Aug-09,0.0501269,0.10913,0.153323,0.234763
Sep-09,0.0448931,0.0987218,0.127892,0.247404
Oct-09,0.0481915,0.108408,0.12576,0.177992
Nov-09,0.0627095,0.146251,0.155261,0.147007
Dec-09,0.1216,0.307257,0.257405,0.114293
Jan-10,0.199283,0.416069,0.159526,0.0943003
Feb-10,0.0829907,0.19426,0.125618,0.0844668
Mar-10,0.0557546,0.130902,0.087749,0.0643589
Apr-10,0.0458283,0.108191,0.0737454,0.0571362
May-10,0.0372785,0.107705,0.110949,0.0780052
Jun-10,0.0334449,0.112414,0.177927,0.256655
Jul-10,0.0286321,0.0957355,0.127444,0.162006
Aug-10,0.0253726,0.084397,0.115941,0.144211
Sep-10,0.0232386,0.0768611,0.144384,0.26652
Oct-10,0.0273131,0.0884651,0.117412,0.178154
Nov-10,0.0401952,0.127523,0.149082,0.135299
Dec-10,0.0969034,0.28901,0.220105,0.105694
Jan-11,0.244212,0.405948,0.13706,0.0853767
Feb-11,0.0854489,0.190341,0.115922,0.079611
Mar-11,0.0561869,0.128414,0.0825568,0.0617406
Apr-11,0.0459715,0.106546,0.0702708,0.0552766
May-11,0.0371229,0.0869366,0.0579779,0.0471281
Jun-11,0.0330753,0.0779738,0.0520887,0.139477
Jul-11,0.0283131,0.067068,0.0446789,0.104551
Aug-11,0.0252045,0.0599671,0.0398309,0.107239
Sep-11,0.023178,0.0554051,0.0367379,0.0968113
Oct-11,0.0501546,0.122724,0.0770225,0.150124
Nov-11,0.0735729,0.186888,0.116964,0.182283
Dec-11,0.173897,0.431989,0.299479,0.141249
Jan-12,0.106757,0.224007,0.269276,0.108142
Feb-12,0.0670781,0.162158,0.134698,0.0919021
Mar-12,0.0464539,0.112811,0.0921685,0.0708076
Apr-12,0.0550309,0.132018,0.109515,0.0789344
May-12,0.0545281,0.144028,0.119817,0.0896748
Jun-12,0.0494525,0.141794,0.127629,0.09951
Jul-12,0.0414232,0.115988,0.0973746,0.0802621
Aug-12,0.0361453,0.100813,0.101408,0.0927408
Sep-12,0.0326346,0.0908059,0.0864363,0.0821053
Oct-12,0.0340969,0.139808,0.114176,0.0700784
Nov-12,0.0464823,0.0984599,0.0740988,0.059115
Dec-12,0.0336854,0.074991,0.0573424,0.0478065
Jan-13,0.0257987,0.0593455,0.0458561,0.0404294
Feb-13,0.0227572,0.0538178,0.0418084,0.0386461
Mar-13,0.0171116,0.0412918,0.0321042,0.0306604
Apr-13,0.015201,0.0372035,0.0288676,0.0281981
May-13,0.0130148,0.0441502,0.066698,0.0530003
Jun-13,0.0120988,0.0807677,0.201828,0.146024
Jul-13,0.0106266,0.0558535,0.148459,0.149853
Aug-13,0.00968209,0.0495426,0.110553,0.103859
Sep-13,0.00913796,0.0456458,0.094902,0.0899572
Oct-13,0.0268063,0.11893,0.119885,0.0725202
Nov-13,0.0533897,0.184655,0.083598,0.064559
Dec-13,0.0859382,0.119889,0.0628778,0.0518802
Jan-14,0.054341,0.0976893,0.0581799,0.0482945
Feb-14,0.037395,0.0710863,0.0458681,0.0422131
Mar-14,0.025571,0.0509987,0.0346702,0.0331632
Apr-14,0.0214025,0.0441019,0.030866,0.0303094
May-14,0.0177261,0.0372512,0.0263674,0.026329
Jun-14,0.0162152,0.0344762,0.0451775,0.0870729
Jul-14,0.0141396,0.0302955,0.0302038,0.0538221
Aug-14,0.0127835,0.0290259,0.0316182,0.0532747
Sep-14,0.011983,0.0272797,0.0745274,0.0796015
Oct-14,0.016122,0.0367769,0.126189,0.0491443
Nov-14,0.0271793,0.0647878,0.0560081,0.0422199
Dec-14,0.0465651,0.0996953,0.0406623,0.0338732
Jan-15,0.0292758,0.0656851,0.0309428,0.028472
Feb-15,0.0238517,0.0536372,0.0276539,0.0272783
Mar-15,0.0281325,0.0629652,0.0352233,0.0295143
Apr-15,0.0274922,0.0633538,0.0385968,0.0339061
May-15,0.0217875,0.0500885,0.0311059,0.0286711
Jun-15,0.0194022,0.0445868,0.0279538,0.026592
Jul-15,0.0165572,0.0380608,0.0588986,0.0918265
Aug-15,0.0147979,0.0387605,0.457672,0.527565
Sep-15,0.0137897,0.0354785,0.306718,0.389444
Oct-15,0.0624638,0.291675,0.686462,0.581489
Nov-15,0.037241,0.213927,0.414205,0.289956
Dec-15,0.0666032,0.387731,0.344873,0.213761
Jan-16,0.196545,0.951572,0.219775,0.165262
Feb-16,0.128884,0.370526,0.171184,0.140535
Mar-16,0.18,0.245313,0.122332,0.107276
Apr-16,0.153917,0.237838,0.125233,0.105571
May-16,0.131471,0.27764,0.172345,0.133861
Jun-16,0.116084,0.277471,0.416794,0.526991
Jul-16,0.0932609,0.223819,0.322021,0.564049
Aug-16,0.0782307,0.188756,0.203824,0.299715
Sep-16,0.0984456,0.243955,0.238596,0.274022
Oct-16,0.15011,0.44173,0.393955,0.244318
Nov-16,0.203448,0.566192,0.286458,0.202499
Dec-16,0.252861,0.34003,0.183182,0.156034
Jan-17,0.129951,0.226698,0.132559,0.123845
Feb-17,0.100916,0.18516,0.112233,0.111326
Mar-17,0.0691178,0.131387,0.0812138,0.0835517
Apr-17,0.0569753,0.111262,0.0695081,0.0731022
May-17,0.0458957,0.148423,0.289005,0.227892
Jun-17,0.0406007,0.182763,0.385427,0.562824
Jul-17,0.0341672,0.151415,0.293122,0.355375
Aug-17,0.029867,0.130722,0.238707,0.352987
Sep-17,0.0270924,0.121238,0.233502,0.341558
Oct-17,0.0303652,0.127923,0.200144,0.368098
Nov-17,0.0418611,0.168309,0.225753,0.290845
Dec-17,0.0970158,0.332135,0.334015,0.221728
Jan-18,0.295327,0.900814,0.316804,0.17442
Feb-18,0.198594,0.386463,0.190297,0.154269
Mar-18,0.16765,0.257408,0.130996,0.113719
Apr-18,0.124296,0.201423,0.108141,0.0978113
May-18,0.0939688,0.163329,0.0944437,0.0851124
Jun-18,0.0807299,0.146954,0.089713,0.130879
Jul-18,0.0666592,0.123662,0.0810111,0.130138
Aug-18,0.0569676,0.107552,0.0672614,0.0934674
Sep-18,0.0501508,0.156276,0.0970328,0.121215
Oct-18,0.139091,0.396285,0.265328,0.15988
Nov-18,0.117625,0.210123,0.140243,0.0995856
Dec-18,0.0739307,0.143623,0.0962474,0.0783322
Jan-19,0.0537795,0.106897,0.0718515,0.0640173
Feb-19,0.0456663,0.0928125,0.0624591,0.0593498
Mar-19,0.0331428,0.0687388,0.0462918,0.0459181
Apr-19,0.0290542,0.0613877,0.0414688,0.0419356
May-19,0.0248089,0.0620393,0.0498779,0.045715
Jun-19,0.022813,0.0659383,0.071919,0.070466
Jul-19,0.0196517,0.0569418,0.0544527,0.0534618
Aug-19,0.0175603,0.0509782,0.0480081,0.0474746
Sep-19,0.0161768,0.0578449,0.0813623,0.0646184
Oct-19,0.0193096,0.0604943,0.0541738,0.0420191
Nov-19,0.0296803,0.0702272,0.0402064,0.0369174
Dec-19,0.0309896,0.0556321,0.0314173,0.0304888
Jan-20,0.0225541,0.0444433,0.0259334,0.0263392
Feb-20,0.0189219,0.0388628,0.0236306,0.0247832
Mar-20,0.0144931,0.0307737,0.0193446,0.0207295
Apr-20,0.0128243,0.0278573,0.0178483,0.0193932
May-20,0.0112697,0.0381791,0.0369527,0.0311676
Jun-20,0.0107782,0.0510193,0.0840131,0.0857951
Jul-20,0.00954801,0.0438306,0.0566249,0.056359
Aug-20,0.00875676,0.0391708,0.0489076,0.0490151
Sep-20,0.00826281,0.0497076,0.0680235,0.0436601
Oct-20,0.0266973,0.127534,0.0464695,0.03594
Nov-20,0.041228,0.0600262,0.0351389,0.0313499
Dec-20,0.0268807,0.0430025,0.0270216,0.0257454
Jan-21,0.0189049,0.0330551,0.0220403,0.0221737
Feb-21,0.0158616,0.029813,0.0207052,0.0216338
Mar-21,0.0124174,0.0243051,0.0171959,0.0180658
Apr-21,0.0120627,0.0243996,0.0174302,0.0180981
May-21,0.0109438,0.0268063,0.0221835,0.0208727
Jun-21,0.0103639,0.0294478,0.0469336,0.0538071
